NUMC_ID,NUMC_CODE,NAMC_TERM_WORD,NATIVE_TERM,SECTION,ICD_Code,ICD_Title,Similarity_Score
16,A-5.6,Sarsām Ghayr Ḥaqīqī,سرسام غير حقيقي,Unani,XA9738,Brain,0.31179924797635433
17,A-6,Falghamūnī Dimāghī,فلغمونى دماغي,Unani,2A00.0,Gliomas of brain,0.42913017979886237
17,A-6,Falghamūnī Dimāghī,فلغمونى دماغي,Unani,2A00.4,Astroblastoma of the brain,0.42913017979886237
17,A-6,Falghamūnī Dimāghī,فلغمونى دماغي,Unani,2A00.00,Glioblastoma of brain,0.42913017979886237
18,A-7,Shafāqalūs Dimāghī,شفا قلوس دماغي,Unani,XA21T7,Blood Vessels,0.5310354548237906
18,A-7,Shafāqalūs Dimāghī,شفا قلوس دماغي,Unani,NB30.Y,Injury of other specified blood vessels of thorax,0.4133130383688746
18,A-7,Shafāqalūs Dimāghī,شفا قلوس دماغي,Unani,NB30,Injury of blood vessels of thorax,0.4133130383688746
19,A-8,Ḥumra Dimāghiyya,حمرہ دماغيہ,Unani,2A00.00,Glioblastoma of brain,0.3200549316176833
19,A-8,Ḥumra Dimāghiyya,حمرہ دماغيہ,Unani,2A00.10,Medulloblastoma of brain,0.3200549316176833
19,A-8,Ḥumra Dimāghiyya,حمرہ دماغيہ,Unani,XA9738,Brain,0.3200549316176833
20,A-9,‘Uṭāsh,عطاش,Unani,4B24.0,Acute graft-versus-host disease,0.24439572484230238
20,A-9,‘Uṭāsh,عطاش,Unani,1C1C.20,Acute meningococcaemia,0.23157092072479352
20,A-9,‘Uṭāsh,عطاش,Unani,XH8AA5,"Acute myeloid leukaemia, NOS",0.23157092072479352
21,A-10,Māshrā,ماشریٰ,Unani,XA86S4,Face,0.27650918708878564
21,A-10,Māshrā,ماشریٰ,Unani,XE3RM,"Personal countermeasures, face mask or shield",0.27650918708878564
21,A-10,Māshrā,ماشریٰ,Unani,1B70.00,Erysipelas of face,0.2757035877594181
22,A-11,Mā’ al-Ra’s,ماء الراس,Unani,XA0K77,Fibular head,0.40802805623815336
22,A-11,Mā’ al-Ra’s,ماء الراس,Unani,XA2N25,Radial head,0.40802805623815336
22,A-11,Mā’ al-Ra’s,ماء الراس,Unani,XA20Q1,Head,0.40802805623815336
23,A-12,Subāt,سبات,Unani,XS83,Phase 9,0.40731593646773
23,A-12,Subāt,سبات,Unani,XS41,Phase 6,0.40731593646773
23,A-12,Subāt,سبات,Unani,SG8Y,Other specified defense phase patterns (TM1),0.40731593646773
24,A-12.1,Subāt Sahrī,سبات سهرى,Unani,SR1P,Predominance of Balgham pattern (TM2),0.2897853667804492
24,A-12.1,Subāt Sahrī,سبات سهرى,Unani,5C56.32,Mucopolysaccharidosis type 4,0.2733013834528457
24,A-12.1,Subāt Sahrī,سبات سهرى,Unani,5C56.33,Mucopolysaccharidosis type 6,0.2733013834528457
25,A-12.2,Subāt Bārid,سبات بارد,Unani,5A00.21,Myxoedema coma,0.5415586483535514
25,A-12.2,Subāt Bārid,سبات بارد,Unani,MB20.1,Coma,0.5415586483535514
25,A-12.2,Subāt Bārid,سبات بارد,Unani,5A20.1,Hyperosmolar hyperglycaemic state with coma,0.4169490478321854
26,A-12.3,Subāt Ruṭūbī,سبات رطوبى,Unani,5A00.21,Myxoedema coma,0.4412841880043995
26,A-12.3,Subāt Ruṭūbī,سبات رطوبى,Unani,MB20.1,Coma,0.4412841880043995
26,A-12.3,Subāt Ruṭūbī,سبات رطوبى,Unani,5A20.1,Hyperosmolar hyperglycaemic state with coma,0.3397471770993035
27,A-12.4,Subāt Damawī,سبات دموي,Unani,5A00.21,Myxoedema coma,0.6764411464827601
27,A-12.4,Subāt Damawī,سبات دموي,Unani,MB20.1,Coma,0.6764411464827601
27,A-12.4,Subāt Damawī,سبات دموي,Unani,5A20.0,Hyperosmolar hyperglycaemic state without coma,0.5207958414069506
28,A-12.5,Subāt Bukhārī,سبات بخارى,Unani,5A00.21,Myxoedema coma,0.5702980571888755
28,A-12.5,Subāt Bukhārī,سبات بخارى,Unani,MB20.1,Coma,0.5702980571888755
28,A-12.5,Subāt Bukhārī,سبات بخارى,Unani,5A20.1,Hyperosmolar hyperglycaemic state with coma,0.4390756802580153
29,A-12.6,Subāt Ḍu‘fī,سبات ضعفي,Unani,MB20.1,Coma,0.5944022959492699
29,A-12.6,Subāt Ḍu‘fī,سبات ضعفي,Unani,5A00.21,Myxoedema coma,0.5944022959492699
29,A-12.6,Subāt Ḍu‘fī,سبات ضعفي,Unani,5A20.0,Hyperosmolar hyperglycaemic state without coma,0.4576336691857535
30,A-12.7,Subāt Ḍarbī,سبات ضربى,Unani,MB20.1,Coma,0.5731467096934868
30,A-12.7,Subāt Ḍarbī,سبات ضربى,Unani,5A00.21,Myxoedema coma,0.5731467096934868
30,A-12.7,Subāt Ḍarbī,سبات ضربى,Unani,5A20.0,Hyperosmolar hyperglycaemic state without coma,0.44126887383550395
31,A-13,Sahar,سهر,Unani,7A00,Chronic insomnia,0.30663773837016894
31,A-13,Sahar,سهر,Unani,7A0Z,"Insomnia disorders, unspecified",0.2786332934634666
31,A-13,Sahar,سهر,Unani,SQ24,Insomnia disorder (TM2),0.2655293125639803
32,A-13.1,Sahar Yābis,سهر يابس,Unani,XM2702,Ox bile extract,0.281904237025914
32,A-13.1,Sahar Yābis,سهر يابس,Unani,ST11,Predominance of dryness pattern (TM2),0.2631487451632727
32,A-13.1,Sahar Yābis,سهر يابس,Unani,7A00,Chronic insomnia,0.20918432179573576
33,A-13.2,Sahar Ruṭūbī,سهر رطوبى,Unani,ST10,Predominance of moistness pattern (TM2),0.2881804931291967
33,A-13.2,Sahar Ruṭūbī,سهر رطوبى,Unani,7A00,Chronic insomnia,0.22186856901433055
33,A-13.2,Sahar Ruṭūbī,سهر رطوبى,Unani,7A0Z,"Insomnia disorders, unspecified",0.20160587678826775
34,A-14,Nisyān,نسيان,Unani,MB21.1Z,"Amnesia, unspecified",0.5448393519178734
34,A-14,Nisyān,نسيان,Unani,MB21.1Y,Other specified amnesia,0.5448393519178734
34,A-14,Nisyān,نسيان,Unani,MB21.11,Retrograde amnesia,0.5448393519178734
35,A-14.1,Nisyān Bārid Raṭb,نسيان باردرطب,Unani,SD23,Forgetfulness disorder (TM1),0.3625870276607748
35,A-14.1,Nisyān Bārid Raṭb,نسيان باردرطب,Unani,ST0X,Predominance of coldness pattern (TM2),0.27116808739019316
35,A-14.1,Nisyān Bārid Raṭb,نسيان باردرطب,Unani,ST10,Predominance of moistness pattern (TM2),0.2668954117887761
36,A-14.2,Nisyān Bārid Yābis,نسيان بارد يابس,Unani,MB21.10,Anterograde amnesia,0.39530972383053975
36,A-14.2,Nisyān Bārid Yābis,نسيان بارد يابس,Unani,SD23,Forgetfulness disorder (TM1),0.3909946840197312
36,A-14.2,Nisyān Bārid Yābis,نسيان بارد يابس,Unani,ST0X,Predominance of coldness pattern (TM2),0.29241333130251257
37,A-14.3,Nisyān Ḥārr Yābis,نسيان حار يابس,Unani,SD23,Forgetfulness disorder (TM1),0.37696300530378973
37,A-14.3,Nisyān Ḥārr Yābis,نسيان حار يابس,Unani,2A00.4,Astroblastoma of the brain,0.2842879736356447
37,A-14.3,Nisyān Ḥārr Yābis,نسيان حار يابس,Unani,2A00.0Y,Other specified gliomas of brain,0.2842879736356447
38,A-15,Ikhtlāṭ al-Dhahn,اختلاط الذهن,Unani,XA79E1,T7 level,0.3332530384432606
38,A-15,Ikhtlāṭ al-Dhahn,اختلاط الذهن,Unani,XA5Q83,T6 level,0.3332530384432606
38,A-15,Ikhtlāṭ al-Dhahn,اختلاط الذهن,Unani,XA0D58,T5 level,0.3332530384432606
39,A-16,Hadhayān,هذيان,Unani,MB20.0,Stupor,0.40244914758870554
39,A-16,Hadhayān,هذيان,Unani,6D70,Delirium,0.30624221647216343
39,A-16,Hadhayān,هذيان,Unani,6D70.Z,"Delirium, unspecified or unknown cause",0.24087786081838689
40,A-17,Ḥumq,حمق,Unani,6D86.3,Apathy in dementia,0.23613639114494028
40,A-17,Ḥumq,حمق,Unani,6D85.8,Dementia due to pellagra,0.23613639114494028
40,A-17,Ḥumq,حمق,Unani,6D86.5,Disinhibition in dementia,0.23613639114494028
41,A-18,Ru‘ūnat,رعونت,Unani,XD4KU3,Portable multi-parameter patient monitors,0.3161449842552245
41,A-18,Ru‘ūnat,رعونت,Unani,XE7BE,Patient data problem,0.3161449842552245
41,A-18,Ru‘ūnat,رعونت,Unani,XE6GS,Patient-device incompatibility,0.3161449842552245
42,A-19,Mālankhūliyā,مالنخوليا,Unani,XM2702,Ox bile extract,0.24466057431933458
42,A-19,Mālankhūliyā,مالنخوليا,Unani,XM2WE8,Mustard black,0.18734419901131352
42,A-19,Mālankhūliyā,مالنخوليا,Unani,1F2D.3,Black piedra,0.18734419901131352
43,A-19.1,Mālankhūliyā Damawī,مالنخوليا دموي,Unani,XA8746,Adductor magnus tendon,0.27741309842803896
43,A-19.1,Mālankhūliyā Damawī,مالنخوليا دموي,Unani,6A80.3,Current depressive episode with melancholia,0.2720278872339353
43,A-19.1,Mālankhūliyā Damawī,مالنخوليا دموي,Unani,SS62,"Personality with a confused, negative mindset (TM2)",0.25379064559947934
44,A-19.2,Mālankhūliyā Balghamī,مالنخوليا بلغمي,Unani,6A80.3,Current depressive episode with melancholia,0.3947556912585349
44,A-19.2,Mālankhūliyā Balghamī,مالنخوليا بلغمي,Unani,SP96,Laziness disorder (TM2),0.19812008115979166
44,A-19.2,Mālankhūliyā Balghamī,مالنخوليا بلغمي,Unani,XH3AV2,CNS embryonal tumor with rhabdoid features,0.16800142822086758
45,A-19.3,Mālankhūliyā Ṣafrāwī,مالنخوليا صفراوي,Unani,6A80.3,Current depressive episode with melancholia,0.30260763636220167
45,A-19.3,Mālankhūliyā Ṣafrāwī,مالنخوليا صفراوي,Unani,MB24.1,Anger,0.25604232524980153
45,A-19.3,Mālankhūliyā Ṣafrāwī,مالنخوليا صفراوي,Unani,6D70,Delirium,0.23482669476777585
46,A-19.4,Mālankhūliyā Sawdāwī,مالنخوليا سوداوي,Unani,XM5733,Black pepper,0.2668950592779891
46,A-19.4,Mālankhūliyā Sawdāwī,مالنخوليا سوداوي,Unani,XM08L6,Afghanistan black,0.2668950592779891
46,A-19.4,Mālankhūliyā Sawdāwī,مالنخوليا سوداوي,Unani,1F2D.3,Black piedra,0.2668950592779891
47,A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,قطرب/ علة الذئب/ جنون ذئبي,Unani,XM3418,"Yellow fever, live attenuated",0.1774154613984642
47,A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,قطرب/ علة الذئب/ جنون ذئبي,Unani,XM0NS8,"Varicella, live attenuated",0.17287478059573352
47,A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī,قطرب/ علة الذئب/ جنون ذئبي,Unani,XM1JW3,"Dressing, live pulp",0.17287478059573352
48,A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Unani,6D72.Z,"Amnestic disorder, unknown or unspecified cause",0.22931263985912315
48,A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Unani,6D72.Y,"Amnestic disorder, other specified cause",0.22931263985912315
48,A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya,مالنخوليا مراقي /نفخ مراقی /مراقیہ /علّت نافخہ/شرسوفیہ,Unani,SA91,Heat stranguria disorder (TM1),0.21955074252129947
49,A-20,Junūn/ Waswās,جنون/ وسواس,Unani,XE6GS,Patient-device incompatibility,0.3814346865185858
49,A-20,Junūn/ Waswās,جنون/ وسواس,Unani,XD4KU3,Portable multi-parameter patient monitors,0.3814346865185858
49,A-20,Junūn/ Waswās,جنون/ وسواس,Unani,XE7BE,Patient data problem,0.3814346865185858
50,A-21,Māniyā/ Junūn Saba‘ī,مانيا/ جنون سبعی,Unani,SS61,"Personality with an agitated, reactive mindset (TM2)",0.37112965609586035
50,A-21,Māniyā/ Junūn Saba‘ī,مانيا/ جنون سبعی,Unani,MB23.6,Disorganised behaviour,0.33952699261644215
50,A-21,Māniyā/ Junūn Saba‘ī,مانيا/ جنون سبعی,Unani,MB23.1,Antisocial behaviour,0.33952699261644215
51,A-22,Dā’ al-Kalb,داء الكلب,Unani,MB23.M,Psychomotor agitation,0.3354885379827071
51,A-22,Dā’ al-Kalb,داء الكلب,Unani,XM5SK7,Antidiabetic combined,0.3069208091770873
51,A-22,Dā’ al-Kalb,داء الكلب,Unani,2C12.00,Combined hepatocellular-cholangiocarcinoma,0.3069208091770873
52,A-23,Ṣubārā,صبارا,Unani,QC01.3,Need for immunization against yellow fever,0.28203558023975733
52,A-23,Ṣubārā,صبارا,Unani,XN9S3,Yellow fever virus,0.28203558023975733
52,A-23,Ṣubārā,صبارا,Unani,XM0N24,Yellow fever vaccines,0.28203558023975733
53,A-24,‘Ishq,عشق,Unani,MB26.10,Thought broadcasting,0.2891545345745661
53,A-24,‘Ishq,عشق,Unani,MB26.12,Thought withdrawal,0.2891545345745661
53,A-24,‘Ishq,عشق,Unani,XE05Q,"Portrait, picture, picture frame, or other wall hanging or similar decoration",0.26830423068418313
54,A-25,Sadr-o-Duwār,سدر و دوار,Unani,MB48.Z,"Dizziness or giddiness, unspecified",0.348581524483538
54,A-25,Sadr-o-Duwār,سدر و دوار,Unani,MB48.Y,Other specified dizziness or giddiness,0.348581524483538
54,A-25,Sadr-o-Duwār,سدر و دوار,Unani,MB48,Dizziness or giddiness,0.348581524483538
55,A-25.1,Sadr-o-Duwār Dimāghī Damawī,سدر و دوار دماغي دموي,Unani,MB48,Dizziness or giddiness,0.5520659266103491
55,A-25.1,Sadr-o-Duwār Dimāghī Damawī,سدر و دوار دماغي دموي,Unani,MB48.Z,"Dizziness or giddiness, unspecified",0.5520659266103491
55,A-25.1,Sadr-o-Duwār Dimāghī Damawī,سدر و دوار دماغي دموي,Unani,MB48.Y,Other specified dizziness or giddiness,0.5520659266103491
56,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,سدر و دوار دماغي بلغمي,Unani,SK10,Vertigo and giddiness disorder (TM2),0.4585164130037198
56,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,سدر و دوار دماغي بلغمي,Unani,MB48,Dizziness or giddiness,0.4023649500849812
56,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,سدر و دوار دماغي بلغمي,Unani,MB48.Z,"Dizziness or giddiness, unspecified",0.4023649500849812
57,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,سدر و دوار دماغي صفراوي,Unani,SK10,Vertigo and giddiness disorder (TM2),0.6156253836000118
57,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,سدر و دوار دماغي صفراوي,Unani,MB48.Y,Other specified dizziness or giddiness,0.540233827444813
57,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,سدر و دوار دماغي صفراوي,Unani,MB48,Dizziness or giddiness,0.540233827444813
58,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,سدر و دوار دماغي سوداوي,Unani,SK10,Vertigo and giddiness disorder (TM2),0.47429437192199625
58,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,سدر و دوار دماغي سوداوي,Unani,MB48.Y,Other specified dizziness or giddiness,0.4162106870587276
58,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,سدر و دوار دماغي سوداوي,Unani,MB48.Z,"Dizziness or giddiness, unspecified",0.4162106870587276
59,A-25.5,Sadr-o-Duwār Shirkī,سدر و دوار شركي,Unani,XH10N1,Aggressive systemic mastocytosis,0.29111768745803973
59,A-25.5,Sadr-o-Duwār Shirkī,سدر و دوار شركي,Unani,2A21.0,Systemic mastocytosis,0.29111768745803973
59,A-25.5,Sadr-o-Duwār Shirkī,سدر و دوار شركي,Unani,8A01.15,Chorea due to systemic lupus erythematosus,0.29111768745803973
60,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,لویٰ و فيحذج/ بيجيذق/ اللویٰ,Unani,MG22,Fatigue,0.2856223791178519
60,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,لویٰ و فيحذج/ بيجيذق/ اللویٰ,Unani,FA72.3,Fatigue fracture of vertebra,0.22062407962265915
60,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,لویٰ و فيحذج/ بيجيذق/ اللویٰ,Unani,XE2PM,"Economic activity, private households with employed persons",0.21968039041848392
61,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Unani,XE9N7,Pressure-based equipment,0.3137093327796443
61,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Unani,XE50Y,Pressure cooker,0.3137093327796443
61,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,كابوس/ الخانق/ا لجاثوم والنيدلان/ خانوق/ ضاغوط,Unani,XE94J,No pressure,0.3137093327796443
62,A-27.1,Kābūs Damawī,كابوس دموي,Unani,LA82,Total mirror imagery,0.2208971182678334
62,A-27.1,Kābūs Damawī,كابوس دموي,Unani,7B01.2,Nightmare disorder,0.19312354059060446
62,A-27.1,Kābūs Damawī,كابوس دموي,Unani,XM8SV5,Red top grass,0.18735306651429626
63,A-27.2,Kābūs Balghamī,كابوس بلغمي,Unani,XM2818,Indocyanine green,0.21554441453895173
63,A-27.2,Kābūs Balghamī,كابوس بلغمي,Unani,XM3Y82,Green soap,0.21554441453895173
63,A-27.2,Kābūs Balghamī,كابوس بلغمي,Unani,XM9BG0,Green bean,0.21554441453895173
64,A-27.3,Kābūs Bārid,كابوس بارد,Unani,XM88R8,Cold cream,0.24771454365491832
64,A-27.3,Kābūs Bārid,كابوس بارد,Unani,KC22.1,Cold panniculitis of the newborn,0.24771454365491832
64,A-27.3,Kābūs Bārid,كابوس بارد,Unani,XE4AY,Exposure to excessive cold,0.24751921894038073
65,A-28,Ṣar‘,صرع,Unani,XE20L,Fall from motor vehicle without counterpart,0.36761318967257595
65,A-28,Ṣar‘,صرع,Unani,VV1Z,"Sensory functions and pain, unspecified",0.3141006385343577
65,A-28,Ṣar‘,صرع,Unani,VV1Y,Other specified sensory functions and pain,0.3141006385343577
66,A-28.1,Ṣar‘ Dimāghī Sawdāwī,صرع دماغي سوداوي,Unani,XE3GX,Obstruction of flow,0.26786517449916025
66,A-28.1,Ṣar‘ Dimāghī Sawdāwī,صرع دماغي سوداوي,Unani,XE8ZW,Person driving a motor vehicle injured in transport related event,0.2657434485344449
66,A-28.1,Ṣar‘ Dimāghī Sawdāwī,صرع دماغي سوداوي,Unani,8B6Z,"Motor neuron diseases or related disorders, unspecified",0.2551874279473403
67,A-28.2,Ṣar‘ Dimāghī Aṣlī,صرع دماغي اصلي,Unani,8A60.0Z,Epilepsy due to unspecified prenatal or perinatal brain insults,0.5339863296225102
67,A-28.2,Ṣar‘ Dimāghī Aṣlī,صرع دماغي اصلي,Unani,8A60.0Y,Epilepsy due to other prenatal or perinatal brain insults,0.5339863296225102
67,A-28.2,Ṣar‘ Dimāghī Aṣlī,صرع دماغي اصلي,Unani,8A60.0,Epilepsy due to prenatal or perinatal brain insults,0.5339863296225102
68,A-28.3,Ṣar‘ Shirkī,صرع شركي,Unani,8A61.00,Pyridoxal dependent epilepsy,0.5300048952550268
68,A-28.3,Ṣar‘ Shirkī,صرع شركي,Unani,8A60.3,Epilepsy due to dementias,0.5300048952550268
68,A-28.3,Ṣar‘ Shirkī,صرع شركي,Unani,8A61.30,Juvenile myoclonic epilepsy,0.5300048952550268
69,A-28.4,Ṣar‘ Las‘ī,صرع لسعي,Unani,8A61.00,Pyridoxal dependent epilepsy,0.4756184666995275
69,A-28.4,Ṣar‘ Las‘ī,صرع لسعي,Unani,8A61.30,Juvenile myoclonic epilepsy,0.4756184666995275
69,A-28.4,Ṣar‘ Las‘ī,صرع لسعي,Unani,8A60.3,Epilepsy due to dementias,0.4756184666995275
70,A-28.5,Ṣar‘ al-Aṭfāl,صرع الاطفال,Unani,8A61.30,Juvenile myoclonic epilepsy,0.3116309883248006
70,A-28.5,Ṣar‘ al-Aṭfāl,صرع الاطفال,Unani,8A60.3,Epilepsy due to dementias,0.3116309883248006
70,A-28.5,Ṣar‘ al-Aṭfāl,صرع الاطفال,Unani,8A61.00,Pyridoxal dependent epilepsy,0.3116309883248006
71,A-28.6,Ṣar‘ Badanī,صرع بدني,Unani,8A60.0,Epilepsy due to prenatal or perinatal brain insults,0.4967761359240911
71,A-28.6,Ṣar‘ Badanī,صرع بدني,Unani,8A60.0Y,Epilepsy due to other prenatal or perinatal brain insults,0.4967761359240911
