NAMC_ID,NAMC_CODE,tamil_term,namc_term_word,short_definition,definition,section
48,ADD1.1,முக்குற்ற நீர் வேட்கை நோய்,Mukkuṟṟa Nīr Vēṭkai Nōy,Thirst in mukkuttram conditions,"It is characterised by fever, sanni, diabetes and dyspnoea with bad prognosis. It is explained by increase of vali, Aẕal and iyam. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ , Koẕuppu, Eṉpu, Mūḷai and sukkilam gets affected.",Siddha
49,AE,ஊதல் நோய்,Ūtal Nōy,Anasarca,-,Siddha
50,AEA,வளி,Vaḷi,Anasarca classified under vali humour,-,Siddha
51,AEA1.1,வளி ஊதல் நோய்,Vaḷi Ūtal Nōy,Oedema due to vali with pallor,"It is characterized by weight loss, pallor, dyspepsia, malaise, dyspnoea eeven on mild exertion, browning of hair, impaired sleeping. It is explained by increase of vali and decreased Aẕal (ranjagam). Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Ko",Siddha
52,AEB,அழல்,Aẕal,Anasarca classified under azhal humour,-,Siddha
53,AEB1.1,அழல் ஊதல் நோய்,Aẕal Ūtal Nōy,Oedema due to azhal with icterus,"It is characterised by yellowish discoloration of eyes, eyebrow, nasal septum and hair,vomiting, dyspnoea, headache, difficulty in walking, giddiness and sweating. It is explained by increased Aẕal leading to increased iyam and vali (udanan,vyanan). Among",Siddha
54,AEC,ஐயம்,Aiyam,Anasarca classified under aiyam humour,-,Siddha
55,AEC1.1,ஐய ஊதல் நோய்,Aiya Ūtal Nōy,Oedema due to aiyam with cholera like diarrhoea,"It is characterised by anasarca, generalised pruritus, pallor, fever with rigor, insomnia, continuous diarrhoea as in cholera, giddiness, panic striken on and off.It is explained by increased iyam and vali ( abanan,vyanan ). Among the seven Uṭaṟtātukkal",Siddha
56,AED,முக்குற்றம்,Mukkuṟṟam,Anasarca classified under mukkutram humour,-,Siddha
57,AED1.1,முக்குற்ற ஊதல் நோய்,Mukkuṟṟa Ūtal Nōy,Oedema due to mukkutram and fatal,"It is characterised by anger against women, edema, fever, diarhhoea,abdominal pain,anal pain,dislike to food, pain in extremities, dyspnoea on exertion, giddiness, hypersalivation. It is explained by vali ( samanan,abanan,udanan and vyanan ), Aẕal and iy",Siddha
58,B,தோல் நோய்கள்,Tōl Nōykaḷ,Skin Disorders,-,Siddha
59,BA,அக்கி,Akki,Herpes zooster,-,Siddha
60,BAA,வளி,Vaḷi,Herper zooster classified under Vali,-,Siddha
61,BAA1.1,அக்கி,Akki,Herpes zooster,"It is characterized by fever, painful reddened rashes occurring in the course of the sensory nerves. This disease may occur in sudden seasonal changes and in immune compromised conditions. It is common in summer. It is explained by increased Aẕal followe",Siddha
62,BB,அக்குள் எரிச்சல் கட்டி,Akkuḷ Ericcal Kaṭṭi,Abcess in the axilla,-,Siddha
63,BBB,அழல்,Aẕal,Abcess classified under azhal,-,Siddha
64,BBB1.1,அக்குள் எரிச்சல் கட்டி,Akkuḷ Ericcal Kaṭṭi,Abcess in the axilla with burning,"It is characterized by axillary lymphadenitis with fever and convalesence. It is explained by increased prasaga Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, senner and Ūṉ gets increased.",Siddha
65,BBB1.2,அக்குள் கட்டி,Akkuḷ Kaṭṭi,Abcess in the axilla,"It is characterized by axillary or inguinal lymphadenitis with fever and convalesence. It may be explained by increased prasaga Aẕal. The seven udal thathukkal Saram, Senner, Ūṉ gets increased.",Siddha
66,BC,கால் ஆணி,Kāl Āṇi,Rougness of skin over the feet,-,Siddha
67,BCA,வளி,Vaḷi,Rougness of skin classified under vali,-,Siddha
68,BCA1.1,கால் ஆணி,Kāl Āṇi,Rougness of skin over the feet,"It is characterized by cornification in the sole or palm due to constant pressure or friction with hard objects. It is explained by the increased vyanan (dryness, thickening, hardness and pain) followed by decreased prasagam (diminished complexion of the",Siddha
69,BD,காளாஞ்சகப்படை,Kāḷañcakappaṭai,Psoriasis,-,Siddha
70,BDB,அழல்,Aẕal,Psoriasis classified under azhal,-,Siddha
71,BDB1.1,காளாஞ்சகப்படை,Kāḷañcakappaṭai,Psoriasis,"It is characterized by erythematous elevated itchy patches with silvery scales in the scalp, palm and sole, heamorrhagic purpura, cracks in the sole and palm. In chronic stages it affects the nail (psoriatic nail) and joints (psoriatic arthropathy - kalan",Siddha
72,BE,காணாக்கடி,Kāṇākkaṭi,Utricaria,-,Siddha
73,BEB,அழல்,Aẕal,Utricaria classified under azhal,-,Siddha
74,BEB1.1,காணாக்கடி,Kāṇākkaṭi,Utricaria,"It is characterized by erythematous rashes , soft elevated patches in the skin, itching, pain or tenderness due to unidentified cause. It may be explained by the increased vyanan and prasagam (red patches and itching). Among the Uṭaṟtātukkaḷ Increased C",Siddha
75,BF,கரப்பான்,Karappāṉ,Eczema,-,Siddha
76,BFA,வளி,Vaḷi,Eczema classified under vali,-,Siddha
77,BFA1.1,கபால கருங்கரப்பன்,Kapāla Karuṅkarappaṉ,Hyperpigmentation of skin in the scalp,"It is characterized by a hyperpigmeted itchy skin lesions in the scalp, macules and oozing papules. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ saram and senner gets affected.",Siddha
78,BFA1.2,கண்ட கரப்பான்,Kaṇṭak Karappāṉ,Eczema occuring in head and ears,"It is characterised by burning sensation, thickening of the skin in the scalp and ears, rigor, chillness of the body with goose skin, tingling sensation, dazzling of the eyes and thorny sensation over the skin. It may be explained by the increased activit",Siddha
79,BFA1.3,திமிர்வாதக் கரப்பான்,Timirvātak Karappāṉ,Eczema with joint pain,"It is characterised by pain while sitting and standing, deformity in the joints of the hand, leg and back, odema all over the body, weeping and ulcer formation, polyuria, increased body temperature, vague pain, rigor, malaise, emaciation of the body and",Siddha
80,BFA1.4,வளி கபாலக் கரப்பான்,Vali Kapālak Karappāṉ,Eczema occurred in scalp due to increased vali,"It is characterized by hyperpigmented papules in the scalp with watery or oily discharge, itching, swelling of the face, chillness of the body, pain in the occipital region. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ ssaram and Cen",Siddha
81,BFA1.5,வறட்சிக் கரப்பான்,Vaṟaṭcikkarappāṉ,Eczema with dry skin,"It is characterised by odema all over the body, tingling sensation, itching, fatigue, drowsiness, dryness of the skin, weight loss, incoherent speech, purulent discharge in the oedematous areas and mal odour. It may be explained by derangement of viyanan.",Siddha
82,BFA1.6,வாதக் கரப்பான்,Vātak Karappāṉ,Eczema caused by increased vali,"It is characterised by general malaise, odema, crusted lesions, deformity of the joints, engorged and tortuous veins, dryness of the skin. It is explained by derangement of viyanan. Among the seven Uṭaṟtātukkaḷ Cāram (malaise), senner, Eṉpu (deformity o",Siddha
83,BFB,அழல்,Azhal,Eczema classified under azhal,-,Siddha
84,BFB1.1,அக்கி காது கரப்பான்,Akki Kātu Karappāṉ,Ezema occuring in the ears with boils,"It is characterised by herpetic lesion in the ear with boils. It is explained by increase of Aẕal thathu, Among the seven Uṭaṟtātukkaḷ Cennīr thathu gets affected.",Siddha
85,BFB1.2,அழல் கபாலக் கரப்பான்,Aẕal Kapālak Karappāṉ,Ezema occurred in scalp due to increased azhal,"It is characterized by a papules in the scalp with burning sensation, swelling, oozing. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected.",Siddha
86,BFB1.3,அழுகண்ணி காது கரப்பான்,Aẕukaṇṇi Kātu Karappāṉ,Eczema occuring in ears with infection,"It is characterised by inflammatory lesions in the ear leading to cellulitis. It is explained by increase in Aẕal and iya humour. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
87,BFB1.4,பித்தக் கரப்பான்,Pittak Karappāṉ,Eczema caused by increased azhal,"It is characterised by yellowish discoloration of skin, giddiness, tiredness, inflammation, anorexia, tingling sensation. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
88,BFB1.5,கொள்ளிக் கரப்பான்,koḷḷIkkarappāṉn,Eczema occuring in the ears with burning sensation,"It is characterised by eczematous lesion associated with blisters, burning sensation in the ears. It is explained by increased Aẕal humour. Among the seven Uṭaṟtātukkaḷ, Cennīr gets affected.",Siddha
89,BFB1.6,பொக்கி காது கரப்பான்,Pokki Kātu Karappāṉ,Eczema occuring in ears with bleeding exudates,"It is characterised by small boils around the ears, bleeding from lesions. It is explained deranged vali and Aẕal. Among the seven Uṭaṟtātukkaḷ Cennīr is increased.",Siddha
90,BFB1.7,சொறி காது கரப்பான்,Coṟi Kātu Karappāṉ,Eczema occuring in ears with severe itching,It is characterised by itchiy papules around the ear. It is explained by derangement of vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,Siddha
91,BFB1.8,வெடி காது கரப்பான்,Veṭi Kātu Karappāṉ,Eczema occuring in ears with fissures,"It is characterised by dryness, cracks and ulcers around the ear. It is explained deranged vali humour. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr are decreased.",Siddha
92,BFC,ஐயம்,Aiyam,Eczema classified under aiyam,-,Siddha
93,BFC1.1,ஐய கபால கரப்பான்,Aiyak Kapāla Karappāṉ,Eczema occurred in scalp due to increased aiyam,"It is characterized by a papules in the scalp with watery discharge, pricking pain in the eyebrows and forehead, cervical and submandibular lymphadenopathy. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected",Siddha
94,BFC1.2,சொறி காது கரப்பான்,Coṟi Kātu Karappāṉ,Eczema occuring in ears with severe itching,It is characterised by itchiy papules around the ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.,Siddha
95,BFC1.3,சிலேட்டுமக்கரப்பான்,Cilēttumakkarappāṉ,Eczema caused by increase aiyam,"It is characterized by difficulty in speech, headache, oral ulcers, salivation and pain along with clinical features of eczema. It is explained by increase in Aẕal due to consumption of food substances causing allergy which is the root cause of the disea",Siddha
96,BG,கட்டி,Kaṭṭi,Abcess,-,Siddha
97,BGB,அழல்,Aẕal,Abcess classified under azhal,-,Siddha
98,BGB1.1,கட்டி,Kaṭṭi,Abcess,"It is characterized by a swelling with pus collection, redness, pain, warmth, and swelling. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected initialy and then Ūṉ, Koẕuppu and sometimes Eṉpu gets affected.",Siddha
99,BGB1.2,மூத்திர நாளக்கட்டி,Mūttiranāḷakkaṭṭi,abcess in the Urinary tract,"It is characterized by a abcess in the urinary tract with burning micturation,hematuria, pus discharge and fever. It is explained by increased Aẕal. Among the seven udal thathukkal Saram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
100,BGB1.3,கல்லீரல் கட்டி,Kallīral Kaṭṭi,abcess in the Liver,"It is characterized by a liver abcess with breathlessness, pain in the thoracic region. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
101,BGB1.4,மண்ணீரல் கட்டி,Maṇṇīral Kaṭṭi,abcess in the spleen,"It is characterized by a spleenic abcess with dyspnea, thurst, general bodyache. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
102,BGB1.5,பக்க விலாக்கட்டி,Pakka Vilākkaṭṭi,abcess in the thoracic cavity,"It is characterized by a abcess in the thoracic cavity with throat obstruction. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
103,BGB1.6,மார்பு கட்டி,Mārpu Kaṭṭi,abcess in the chest,"It is characterized by a abcess in the cardiac or chest region with tiredness, dyspnea and depression. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
104,BGB1.7,இரைப்பைக்கட்டி,Iraippaikkaṭṭi,abcess in the stomach,"It is characterized by a abcess in the stomach with loss of appitite, pain in the epigastric and chest region . It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
105,BGB1.8,தொடை இடுக்கு கட்டி,Toṭai Iṭukku Kaṭṭi,abcess in the Inguinal Region,"It is characterized by a abcess in the inguinal region with pain, fever, difficult to walk and adduct the legs. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
106,BGB1.9,அண்டக்கட்டி,Aṇṭakkaṭṭi,abcess in the scrotum,"It is characterized by a abcess in the scrotum with pain in the scrotum, lower back region. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
107,BGB1.10,எருவாய்க்கட்டி,Eruvāykkaṭṭi,abcess in and around the anus,"It is characterized by a abcess in and around the anus with painful defication and pus discharge. It is explained by increased Aẕal. Among the seven udal thathukkal Cāram, Cennīr affected initialy and then Ūṉ, Koẕuppu gets affected.",Siddha
108,BH,கொப்புளம்,Koppuḷam,Boils,-,Siddha
109,BHB,அழல்,Aẕal,Boils classified under azhal,-,Siddha
110,BHB1.1,அக்குள் கொப்புளம்,Akkuḷ Koppuḷam,Boils in the axilla,"It is characterized by small multiple boils present in and around the axillary region. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.",Siddha
111,BHB1.2,அம்மை கொப்புளம்,Ammai Koppuḷam,Chicken pox blisters,"It is characterized by vesicles over erythematous lesions. It is expalained by the increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.",Siddha
112,BI,குட்டம்,Kuṭṭam,Skin lesion,-,Siddha
113,BIA,வளி,Vaḷi,Skin lesion classified under vali,-,Siddha
114,BIA1.1,கபால கருங்குட்டம்,Kapāla Karuṅkuṭṭam,Hyperpigmentation of skin in the scalp,"It is characterized by hyperpigmented skin lesions in the scalp with dryness, scaliness and severe itching. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and senner gets affected.",Siddha
115,BIA1.2,கபால விடக் குட்டம்,Kapāla Viṭak Kuṭṭam,Thickening of scalp skin due to toxins,"It is characterised by coin shaped hyperkeratinised lesions with hyperpigmented dots, itching of scalp, hair loss and emaciation due to toxins. It is explained by increased vali and Aẕal. Among the Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected",Siddha
116,BIA1.3,கடிச் செவி குட்டம்,Kaṭic Cevi Kuṭṭam,Skin fissures in the ears,It is characterised by allergic lesions around the ear caused by some unknown insect bite. It is explained by deranged Aẕal humour. Among the seven Uṭaṟtātukkaḷ Cennīr is increased.,Siddha
117,BIA1.4,கடுப்புக் செவி குட்டம்,Kaṭuppuc Cevi Kuṭṭam,Skin irritation over the ears,It is characterised by skin lesion around the ear causing pain. It is explained by deranged vali. Among the seven Uṭaṟtātukkaḷ Cāram is decreased and senneeer is increased.,Siddha
118,BIA1.5,கருஞ்செவி குட்டம்,Karuñcevi Kuṭṭam,Blackish discolouration of the skin in the ear,"It is characterised by hyperpigmented skin around the ears, ear ache due to skin infection in the middle ear. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.",Siddha
119,BIA1.6,கடுப்பு பெரு நோய் (கர்ணக்குட்டம்),Kaṭuppu Peru Nōy (Karṇakuṭṭam),Cracks in the skin and bluish discolouration,"It is characterised by pain all over the body, cracks over the skin, pruritis, swollen and bulky appearance with bluish discolouration of the body. It is explained by increased vyanan and prasagam . Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affe",Siddha
120,BIA1.7,புள்ளிச் செவி குட்டம்,Puḷḷic Cevi Kuṭṭam,Annular lesion in the skin of the ear,It is characterised by hypopigmented dots around the ear. It is explained by decreased vali and increased aiyam humour. Among the seven Uṭaṟtātukkaḷ Cennīr gets affected.,Siddha
121,BIA1.8,சரும செவிக் குட்டம்,Caruma Cevik Kuṭṭam,Thickening of the skin in ear with severe itching,It is characterised by change in skin texture around the ear. It is explained by deranged vali. Among the Uṭaṟtātukkaḷ Cāram is increased.,Siddha
122,BIA1.9,செவி செங்குட்டம்,Cevi Ceṅkuṭṭam,Inflammatory skin lesion in the ear,It is characterised by inflammatory skin disease around the ears. It is explained by increase of Aẕal humour. Among the seven udal thathukkal Cāram and Cennīr gets affected.,Siddha
123,BIA1.10,விட செவிக் குட்டம்,Viṭa Cevik Kuṭṭam,Skin lesions in the ears due to toxins,It is characterised by skin lesion around the ear due to some toxins. It may be explained by increase in Aẕal.,Siddha
124,BJ,மச்சம்,Maccam,Mole,-,Siddha
125,BJA,வளி,Vaḷi,Mole classified under vali,-,Siddha
126,BJA1.1,மச்சம்,Maccam,Mole,"It is characterised by circumscribed hyperplasia, pale or brown coloured naevus. It doesnot cause any problem and useful for the personal identifications. Treatment is not indicated if they are not showing signs of malignant transformation. It is explain",Siddha
127,BK,மருள்,Maruḷ,Wart,-,Siddha
128,BKA,வளி,Vaḷi,Wart classified under vali,-,Siddha
129,BKA1.1,மருள்,Maruḷ,Wart,"It is characterised by small fleshy or grainy bumps with rough or smooth surface, common in face, neck, upper and lower limbs, rarely painful and grows when put on pressure. It is explained by the imbalance of vali and Aẕal humour affecting ranchagam and",Siddha
130,BL,மயிர் உதிரல்,Mayir Utiral,Hair loss,-,Siddha
131,BLA,வளி,Vaḷi,Hair loss classified under vali,-,Siddha
