NAMC_ID,NAMC_CODE,TERM,TERM_WORD,NATIVE_TERM,SECTION,ICD_Code,ICD_Title,Similarity_Score
10,AAA-2.3,UDANAVATAKOPAH,udānavātakōpaḥ,उदानवातकोपः,Ayurveda,SN11,Vitiated breast milk disorder (TM2),0.14424910153006715
11,AAA-2.4,VYANAVATAKOPAH,vyānavātakōpaḥ,व्यानवातकोपः,Ayurveda,SN11,Vitiated breast milk disorder (TM2),0.14424910153006715
12,AAA-2.5,SAMANAVATAKOPAH,samānavātakōpaḥ,समानवातकोपः,Ayurveda,SN11,Vitiated breast milk disorder (TM2),0.14424910153006715
13,AAA-2.6,APANAVATAKOPAH,apānavātakōpaḥ,अपानवातकोपः,Ayurveda,SN11,Vitiated breast milk disorder (TM2),0.14424910153006715
14,AAA-3,VATAPRASARANAM,vātaprasaraṇam,वातप्रसरणम्,Ayurveda,SR1D,Spreading of kapha pattern (TM2),0.5557838690505136
14,AAA-3,VATAPRASARANAM,vātaprasaraṇam,वातप्रसरणम्,Ayurveda,SR18,Spreading of pitta pattern (TM2),0.55093121733179
14,AAA-3,VATAPRASARANAM,vātaprasaraṇam,वातप्रसरणम्,Ayurveda,XH08X7,Superficial spreading melanoma,0.4238532975109931
15,AAA-4,VATAKSHAYAH,vātakṣayaḥ,वातक्षयः,Ayurveda,XH4E19,"Hodgkin lymphoma, lymphocyte depletion, reticular",0.5626894620381351
15,AAA-4,VATAKSHAYAH,vātakṣayaḥ,वातक्षयः,Ayurveda,XH7299,"Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis",0.5626894620381351
15,AAA-4,VATAKSHAYAH,vātakṣayaḥ,वातक्षयः,Ayurveda,XH7RN9,"Hodgkin lymphoma, lymphocyte depletion, NOS",0.5626894620381351
16,AAB,NANATMAJAVATAVIKARAH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,Ayurveda,1E1Y,Other specified viral diseases,0.48096082684261227
16,AAB,NANATMAJAVATAVIKARAH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,Ayurveda,DA5Z,"Diseases of duodenum, unspecified",0.48096082684261227
16,AAB,NANATMAJAVATAVIKARAH,nānātmajavātavikāraḥ,नानात्मजवातविकारः,Ayurveda,DA5Y,Other specified diseases of duodenum,0.48096082684261227
17,AAB-1,ATIPRALAPAH (KEVALAVATA),atipralāpaḥ (kēvalavāta),अतिप्रलापः (केवलवात),Ayurveda,6D70.1,Delirium due to psychoactive substances including medications,0.5329556446610271
17,AAB-1,ATIPRALAPAH (KEVALAVATA),atipralāpaḥ (kēvalavāta),अतिप्रलापः (केवलवात),Ayurveda,6D70,Delirium,0.5329556446610271
17,AAB-1,ATIPRALAPAH (KEVALAVATA),atipralāpaḥ (kēvalavāta),अतिप्रलापः (केवलवात),Ayurveda,SE74,Excess pattern (TM1),0.4860161026870805
18,AAB-2,ANAVASTHITACITTATVAM (KEVALAVATA),anavasthitacittatvam (kēvalavāta),अनवस्थितचित्तत्वम् (केवलवात),Ayurveda,XE5CH,Unstable device,0.49716135140125556
18,AAB-2,ANAVASTHITACITTATVAM (KEVALAVATA),anavasthitacittatvam (kēvalavāta),अनवस्थितचित्तत्वम् (केवलवात),Ayurveda,XE350,Unstable capture threshold,0.49716135140125556
18,AAB-2,ANAVASTHITACITTATVAM (KEVALAVATA),anavasthitacittatvam (kēvalavāta),अनवस्थितचित्तत्वम् (केवलवात),Ayurveda,JA82.0,Maternal care for unstable lie,0.49716135140125556
19,AAB-3,ANGAMARDAH (KEVALAVATA),aṅgamardaḥ (kēvalavāta),अङ्गमर्दः (केवलवात),Ayurveda,SA51,Stomach ache disorder (TM1),0.3330285740170027
19,AAB-3,ANGAMARDAH (KEVALAVATA),aṅgamardaḥ (kēvalavāta),अङ्गमर्दः (केवलवात),Ayurveda,XA3M45,Body of sternum,0.3216408888019428
19,AAB-3,ANGAMARDAH (KEVALAVATA),aṅgamardaḥ (kēvalavāta),अङ्गमर्दः (केवलवात),Ayurveda,XE8W8,"Body powder, talc",0.3216408888019428
20,AAB-4,ANGASUSHKATA (KEVALAVATA),aṅgaśuṣkatā (kēvalavāta),अङ्गशुष्कता (केवलवात),Ayurveda,5B51,"Wasting in infants, children or adolescents",0.4304041480651717
20,AAB-4,ANGASUSHKATA (KEVALAVATA),aṅgaśuṣkatā (kēvalavāta),अङ्गशुष्कता (केवलवात),Ayurveda,SD71,Wasting thirst disorder (TM1),0.3784697432423926
20,AAB-4,ANGASUSHKATA (KEVALAVATA),aṅgaśuṣkatā (kēvalavāta),अङ्गशुष्कता (केवलवात),Ayurveda,ME86,Symptom or complaint of a body part,0.3724322103480969
21,AAB-5,ANGAVIBRAMSAH (KEVALAVATA),aṅgavibhraṁśaḥ (kēvalavāta),अङ्गविभ्रंशः (केवलवात),Ayurveda,NA23.11,Atlanto-axial dislocation,0.4159227584759838
21,AAB-5,ANGAVIBRAMSAH (KEVALAVATA),aṅgavibhraṁśaḥ (kēvalavāta),अङ्गविभ्रंशः (केवलवात),Ayurveda,ND14.1Z,"Dislocation of great toe, unspecified",0.4159227584759838
21,AAB-5,ANGAVIBRAMSAH (KEVALAVATA),aṅgavibhraṁśaḥ (kēvalavāta),अङ्गविभ्रंशः (केवलवात),Ayurveda,ND14.2,Dislocation of other toe,0.4159227584759838
22,AAB-6,ARDITAH (KEVALAVATA),arditaḥ (kēvalavāta),अर्दितः (केवलवात),Ayurveda,SD00,Facial paralysis disorder (TM1),0.6160183978427103
22,AAB-6,ARDITAH (KEVALAVATA),arditaḥ (kēvalavāta),अर्दितः (केवलवात),Ayurveda,XA3Y16,Facial bones,0.5146777720525799
22,AAB-6,ARDITAH (KEVALAVATA),arditaḥ (kēvalavāta),अर्दितः (केवलवात),Ayurveda,8B88.3,Facial neuritis,0.5146777720525799
23,AAB-7,ARASAJNATA (KEVALAVATA),arasajñatā (kēvalavāta),अरसज्ञता (केवलवात),Ayurveda,SM1P,Ageusia disorder (TM2),0.506948365594452
24,AAB-8,ASABDASRAVANAM (KEVALAVATA),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),Ayurveda,MC41,Tinnitus,0.5955339566401003
24,AAB-8,ASABDASRAVANAM (KEVALAVATA),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),Ayurveda,SK86,Tinnitus disorder (TM2),0.46466307299791376
24,AAB-8,ASABDASRAVANAM (KEVALAVATA),aśabdaśravaṇam (kēvalavāta),अशब्दश्रवणम् (केवलवात),Ayurveda,SD21,Cerebral tinnitus disorder (TM1),0.46466307299791376
25,AAB-9,ASVAPNAH (KEVALAVATA),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),Ayurveda,7A0Z,"Insomnia disorders, unspecified",0.5363814643960227
25,AAB-9,ASVAPNAH (KEVALAVATA),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),Ayurveda,8E02.2,Fatal familial insomnia,0.5028868288823056
25,AAB-9,ASVAPNAH (KEVALAVATA),asvapnaḥ (kēvalavāta),अस्वप्नः (केवलवात),Ayurveda,SQ24,Insomnia disorder (TM2),0.4812660382004342
26,AAB-10,AKSHIBEDAH (KEVALAVATA),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),Ayurveda,9C85.0,Anomalies of saccadic eye movements,0.4067474955663984
26,AAB-10,AKSHIBEDAH (KEVALAVATA),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),Ayurveda,XA0BB2,Chamber of eye,0.4067474955663984
26,AAB-10,AKSHIBEDAH (KEVALAVATA),akṣibhēdaḥ (kēvalavāta),अक्षिभेदः (केवलवात),Ayurveda,XM3X79,Copper sulfate cupric medicinal eye,0.4067474955663984
27,AAB-11,AKSHIVYUDASAH (KEVALAVATA),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),Ayurveda,XE3GK,Team ball sports,0.4989429504822397
27,AAB-11,AKSHIVYUDASAH (KEVALAVATA),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),Ayurveda,1F6A.0,Onchocerciasis of the eye,0.3816212202719149
27,AAB-11,AKSHIVYUDASAH (KEVALAVATA),akṣivyudāsaḥ (kēvalavāta),अक्षिव्युदासः (केवलवात),Ayurveda,XE338,"Personal countermeasures, eye goggles or protective glasses",0.3816212202719149
28,AAB-12,AKSHISULAH (KEVALAVATA),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),Ayurveda,XA7D89,Eye,0.3895348093310477
28,AAB-12,AKSHISULAH (KEVALAVATA),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),Ayurveda,1F70.1,Cysticercosis of eye,0.3895348093310477
28,AAB-12,AKSHISULAH (KEVALAVATA),akṣiśūlaḥ (kēvalavāta),अक्षिशूलः (केवलवात),Ayurveda,1F6A.0,Onchocerciasis of the eye,0.3895348093310477
30,AAB-14,AKSHEPAKAH (KEVALAVATA),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),Ayurveda,SE34,Recurrent convulsion disorder (TM1),0.37657288130133626
30,AAB-14,AKSHEPAKAH (KEVALAVATA),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),Ayurveda,SD20,Convulsion disorder (TM1),0.37657288130133626
30,AAB-14,AKSHEPAKAH (KEVALAVATA),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),Ayurveda,8A68.4,Generalised tonic-clonic seizure,0.30196986302452206
32,AAB-16,UDARAVESHTAH (KEVALAVATA),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),Ayurveda,XA81G2,Lymphatic system of the abdomen,0.4281457225841944
32,AAB-16,UDARAVESHTAH (KEVALAVATA),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),Ayurveda,XA9JK8,Artery of abdomen,0.4281457225841944
32,AAB-16,UDARAVESHTAH (KEVALAVATA),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),Ayurveda,XA4797,Tendons of the abdomen,0.4281457225841944
34,AAB-18,URUSTAMBAH/ADHYAVATAH (KEVALAVATA),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),Ayurveda,XA1YQ6,Medial surface of thigh,0.45368807597027117
34,AAB-18,URUSTAMBAH/ADHYAVATAH (KEVALAVATA),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),Ayurveda,XA5S78,Thigh,0.45368807597027117
34,AAB-18,URUSTAMBAH/ADHYAVATAH (KEVALAVATA),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),Ayurveda,NC70.2,Abrasion of thigh,0.45368807597027117
35,AAB-19,URUSADAH (KEVALAVATA),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),Ayurveda,XE3Y4,Fatigue problem with device identified,0.5187892737921456
35,AAB-19,URUSADAH (KEVALAVATA),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),Ayurveda,8E49,Postviral fatigue syndrome,0.5187892737921456
35,AAB-19,URUSADAH (KEVALAVATA),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),Ayurveda,MG22,Fatigue,0.5187892737921456
36,AAB-20,EKANGAROGAH (KEVALAVATA),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),Ayurveda,MB55.Z,"Monoplegia of lower extremity, unspecified",0.4454240387119223
36,AAB-20,EKANGAROGAH (KEVALAVATA),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),Ayurveda,MB55.1,Spastic monoplegia of lower extremity,0.4454240387119223
36,AAB-20,EKANGAROGAH (KEVALAVATA),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),Ayurveda,MB55.0,Flaccid monoplegia of lower extremity,0.4454240387119223
37,AAB-21,OSHTHABEDAH (KEVALAVATA),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),Ayurveda,LA40.2,"Cleft lip, median",0.7236128366719663
37,AAB-21,OSHTHABEDAH (KEVALAVATA),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),Ayurveda,LA41,Cleft lip and alveolus,0.7236128366719663
37,AAB-21,OSHTHABEDAH (KEVALAVATA),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),Ayurveda,LA40.Z,"Cleft lip, unspecified",0.7236128366719663
38,AAB-22,KANTHODHVAMSAH (KEVALAVATA),kaṇṭhōdhvaṁsaḥ (kēvalavāta),कण्ठोध्वंसः (केवलवात),Ayurveda,SL02,Hoarseness of voice disorder (TM2),0.6499499040632912
38,AAB-22,KANTHODHVAMSAH (KEVALAVATA),kaṇṭhōdhvaṁsaḥ (kēvalavāta),कण्ठोध्वंसः (केवलवात),Ayurveda,MA82.10,Hoarseness,0.5449736519664131
38,AAB-22,KANTHODHVAMSAH (KEVALAVATA),kaṇṭhōdhvaṁsaḥ (kēvalavāta),कण्ठोध्वंसः (केवलवात),Ayurveda,MA82.Z,"Voice disturbances, unspecified",0.4993273339222535
39,AAB-23,KARNASULAH (KEVALAVATA),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),Ayurveda,AB70.2,Otalgia,0.5194731853434418
39,AAB-23,KARNASULAH (KEVALAVATA),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),Ayurveda,SK87,Otalgia disorder (TM2),0.40531694952127123
39,AAB-23,KARNASULAH (KEVALAVATA),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),Ayurveda,AB70,Otalgia or effusion of ear,0.40382708329939115
40,AAB-24,KAMPAH/VEPATHUH (KEVALAVATA),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),Ayurveda,MB45.4,Intention tremor,0.5028756940994203
40,AAB-24,KAMPAH/VEPATHUH (KEVALAVATA),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),Ayurveda,8A04.4,Functional tremor,0.5028756940994203
40,AAB-24,KAMPAH/VEPATHUH (KEVALAVATA),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),Ayurveda,8A04.3Z,"Secondary tremor, unspecified",0.5028756940994203
41,AAB-25,KASHAYASYATA (KEVALAVATA),kaṣāyāsyatā (kēvalavāta),कषायास्यता (केवलवात),Ayurveda,XM19Y0,"Vegetable extract, astringent",0.5116871416453389
41,AAB-25,KASHAYASYATA (KEVALAVATA),kaṣāyāsyatā (kēvalavāta),कषायास्यता (केवलवात),Ayurveda,MG25,Feeling ill,0.4259705793037541
41,AAB-25,KASHAYASYATA (KEVALAVATA),kaṣāyāsyatā (kēvalavāta),कषायास्यता (केवलवात),Ayurveda,XM1484,Tannic acid medicinal (astringent),0.36181744770338065
42,AAB-26,KLAMAH (KEVALAVATA),klamaḥ (kēvalavāta),क्लमः (केवलवात),Ayurveda,8E49,Postviral fatigue syndrome,0.6962274888894778
42,AAB-26,KLAMAH (KEVALAVATA),klamaḥ (kēvalavāta),क्लमः (केवलवात),Ayurveda,XE3Y4,Fatigue problem with device identified,0.6962274888894778
42,AAB-26,KLAMAH (KEVALAVATA),klamaḥ (kēvalavāta),क्लमः (केवलवात),Ayurveda,MG22,Fatigue,0.6962274888894778
43,AAB-27,KARSHNYAM (KEVALAVATA),kārṣṇyam (kēvalavāta),कार्ष्ण्यम् (केवलवात),Ayurveda,SN41,Discoloration of body disorder (TM2),0.35883840745806783
43,AAB-27,KARSHNYAM (KEVALAVATA),kārṣṇyam (kēvalavāta),कार्ष्ण्यम् (केवलवात),Ayurveda,SN4F,Birth mark - blackish red disorder (TM2),0.26827587363786476
44,AAB-28,KUBJATVAM (KEVALAVATA),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),Ayurveda,FC01.3,Postlaminectomy kyphosis,0.5324312819966892
44,AAB-28,KUBJATVAM (KEVALAVATA),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),Ayurveda,FA70.0,Kyphosis,0.5324312819966892
44,AAB-28,KUBJATVAM (KEVALAVATA),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),Ayurveda,FC01.2,Post radiation kyphosis,0.4091962188401432
45,AAB-29,KARSYAM (KEVALAVATA),kārśyam (kēvalavāta),कार्श्यम् (केवलवात),Ayurveda,SP61,Emaciation disorder (TM2),0.48263692005769965
46,AAB-30,KESABUMISPUTANAM (KEVALAVATA),kēśabhūmisphuṭanam (kēvalavāta),केशभूमिस्फुटनम् (केवलवात),Ayurveda,XA3EK3,Occipital scalp margin,0.504329630038746
46,AAB-30,KESABUMISPUTANAM (KEVALAVATA),kēśabhūmisphuṭanam (kēvalavāta),केशभूमिस्फुटनम् (केवलवात),Ayurveda,XA7JE5,Occipital scalp,0.504329630038746
46,AAB-30,KESABUMISPUTANAM (KEVALAVATA),kēśabhūmisphuṭanam (kēvalavāta),केशभूमिस्फुटनम् (केवलवात),Ayurveda,XA4W34,Parietal scalp,0.504329630038746
47,AAB-31,KHANJAH/KHANJATVAM (KEVALAVATA),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),Ayurveda,XK70,"Unilateral, unspecified",0.4708015254588192
47,AAB-31,KHANJAH/KHANJATVAM (KEVALAVATA),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),Ayurveda,LB52.1,"Undescended testicle, unilateral",0.4708015254588192
47,AAB-31,KHANJAH/KHANJATVAM (KEVALAVATA),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),Ayurveda,AB32.3,Unilateral vestibulopathy due to schwannoma,0.4708015254588192
48,AAB-32,GARBANASAH (KEVALAVATA),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),Ayurveda,KB23.0Y,Other specified respiratory distress syndrome of newborn,0.40067261592634634
48,AAB-32,GARBANASAH (KEVALAVATA),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),Ayurveda,KB23.Z,"Respiratory distress of newborn, unspecified",0.40067261592634634
48,AAB-32,GARBANASAH (KEVALAVATA),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),Ayurveda,KB23.0Z,"Respiratory distress syndrome of newborn, unspecified",0.40067261592634634
49,AAB-33,GRIVASTAMBAH/GRIVAHUNDANAM (KEVALAVATA),grīvāstambhaḥ/grīvāhuṇḍanam (kēvalavāta),ग्रीवास्तम्भः (केवलवात),Ayurveda,FA71,Torticollis,0.3543814659326569
49,AAB-33,GRIVASTAMBAH/GRIVAHUNDANAM (KEVALAVATA),grīvāstambhaḥ/grīvāhuṇḍanam (kēvalavāta),ग्रीवास्तम्भः (केवलवात),Ayurveda,XE69Q,Stiffness problem identified with device,0.32822639459521036
49,AAB-33,GRIVASTAMBAH/GRIVAHUNDANAM (KEVALAVATA),grīvāstambhaḥ/grīvāhuṇḍanam (kēvalavāta),ग्रीवास्तम्भः (केवलवात),Ayurveda,XA4QS6,Front of neck,0.3219854643441753
50,AAB-34,GUDABRAMSAH (KEVALAVATA),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),Ayurveda,DB31.2,Rectal prolapse,0.7087251987483417
50,AAB-34,GUDABRAMSAH (KEVALAVATA),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),Ayurveda,SM55,Rectal prolapse disorder (TM2),0.6047760058443663
50,AAB-34,GUDABRAMSAH (KEVALAVATA),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),Ayurveda,XA5JV6,Rectal venous plexus,0.5112869336077659
51,AAB-35,GUDARTIH (KEVALAVATA),gudārtiḥ (kēvalavāta),गुदार्तिः (केवलवात),Ayurveda,XH7SX5,"Anal intraepithelial neoplasia, grade III",0.46396483773101327
51,AAB-35,GUDARTIH (KEVALAVATA),gudārtiḥ (kēvalavāta),गुदार्तिः (केवलवात),Ayurveda,XA8CZ0,Inferior anal nerves,0.46396483773101327
51,AAB-35,GUDARTIH (KEVALAVATA),gudārtiḥ (kēvalavāta),गुदार्तिः (केवलवात),Ayurveda,DB50.0,Anal fissure,0.46396483773101327
52,AAB-36,GULPA-GRAHAH (KEVALAVATA),gulpha-grahaḥ (kēvalavāta),गुल्फ-ग्रहः (केवलवात),Ayurveda,XA7P78,Medial surface of ankle,0.5085711051229831
52,AAB-36,GULPA-GRAHAH (KEVALAVATA),gulpha-grahaḥ (kēvalavāta),गुल्फ-ग्रहः (केवलवात),Ayurveda,ND11.0,Abrasion of ankle,0.5085711051229831
52,AAB-36,GULPA-GRAHAH (KEVALAVATA),gulpha-grahaḥ (kēvalavāta),गुल्फ-ग्रहः (केवलवात),Ayurveda,ND11.1,Contusion of ankle,0.5085711051229831
54,AAB-38,GHRANANASAH/NASAHUNDANAM (KEVALAVATA),ghrāṇanāśaḥ/nāsāhuṇḍanam (kēvalavāta),घ्राणनाशः/नासाहुण्डनम् (केवलवात),Ayurveda,MB41.0,Anosmia,0.5324312819966892
54,AAB-38,GHRANANASAH/NASAHUNDANAM (KEVALAVATA),ghrāṇanāśaḥ/nāsāhuṇḍanam (kēvalavāta),घ्राणनाशः/नासाहुण्डनम् (केवलवात),Ayurveda,SK91,Anosmia disorder (TM2),0.42911822072090855
55,AAB-39,JANUBEDAH (KEVALAVATA),jānubhēdaḥ (kēvalavāta),जानुभेदः (केवलवात),Ayurveda,XS5B,No pain,0.33141113446011716
55,AAB-39,JANUBEDAH (KEVALAVATA),jānubhēdaḥ (kēvalavāta),जानुभेदः (केवलवात),Ayurveda,MG3Z,"Pain, unspecified",0.33141113446011716
55,AAB-39,JANUBEDAH (KEVALAVATA),jānubhēdaḥ (kēvalavāta),जानुभेदः (केवलवात),Ayurveda,ME84,Spinal pain,0.33141113446011716
56,AAB-40,JANUVISLESHAH (KEVALAVATA),jānuviślēṣaḥ (kēvalavāta),जानुविश्लेषः (केवलवात),Ayurveda,XM6CR4,Ex-Lax (phenolphthalein),0.5397953070114531
56,AAB-40,JANUVISLESHAH (KEVALAVATA),jānuviślēṣaḥ (kēvalavāta),जानुविश्लेषः (केवलवात),Ayurveda,XA9S09,Medial surface of knee,0.5133476394741014
56,AAB-40,JANUVISLESHAH (KEVALAVATA),jānuviślēṣaḥ (kēvalavāta),जानुविश्लेषः (केवलवात),Ayurveda,NC90.1,Contusion of knee,0.5133476394741014
57,AAB-41,JRUMBA (KEVALAVATA),jr̥mbhā (kēvalavāta),जृम्भा (केवलवात),Ayurveda,MD11.D,Yawning,0.470328719899226
57,AAB-41,JRUMBA (KEVALAVATA),jr̥mbhā (kēvalavāta),जृम्भा (केवलवात),Ayurveda,SS21,Suppression of yawning pattern (TM2),0.36650129241328894
57,AAB-41,JRUMBA (KEVALAVATA),jr̥mbhā (kēvalavāta),जृम्भा (केवलवात),Ayurveda,ST0C,Compound morbid temperament pattern (TM2),0.3272958569913056
58,AAB-42,TAMAH (KEVALAVATA),tamaḥ (kēvalavāta),तमः (केवलवात),Ayurveda,MG45.Z,"Syncope or collapse, unspecified",0.5434515837251803
58,AAB-42,TAMAH (KEVALAVATA),tamaḥ (kēvalavāta),तमः (केवलवात),Ayurveda,MG45.Y,Other specified syncope or collapse,0.5434515837251803
58,AAB-42,TAMAH (KEVALAVATA),tamaḥ (kēvalavāta),तमः (केवलवात),Ayurveda,MG45.0,Cardiac syncope,0.5434515837251803
