NAMC_ID,NAMC_CODE,NAMC_TERM_WORD,NATIVE_TERM,SECTION,ICD_Code,ICD_Title,Similarity_Score
13,ABA1.1,Vaḷi Mañcaḷ Nōy,வளி மஞ்சள் நோய்,Siddha,XH6SR1,Nodal peripheral T-cell lymphoma with T follicular helper phenotype,0.26913725146949413
13,ABA1.1,Vaḷi Mañcaḷ Nōy,வளி மஞ்சள் நோய்,Siddha,LA90.3Z,"Peripheral arteriovenous malformations, unspecified",0.26913725146949413
13,ABA1.1,Vaḷi Mañcaḷ Nōy,வளி மஞ்சள் நோய்,Siddha,LA90.4,Peripheral arterial malformations,0.26913725146949413
14,ABA1.2,Kumpa Mañcaḷ Nōy,கும்ப மஞ்சள் நோய்,Siddha,VD11,Changing body position - standing [WHODAS],0.3471245157488225
14,ABA1.2,Kumpa Mañcaḷ Nōy,கும்ப மஞ்சள் நோய்,Siddha,SM38,Dysentery disorder (TM2),0.27446009500325635
14,ABA1.2,Kumpa Mañcaḷ Nōy,கும்ப மஞ்சள் நோய்,Siddha,SA56,Dysentery disorder (TM1),0.27446009500325635
15,ABA1.3,-,வாத கப காமாலை,Siddha,LB79.1,Webbed fingers,0.27161275574148813
15,ABA1.3,-,வாத கப காமாலை,Siddha,LB97.0,Macrodactyly of fingers,0.27161275574148813
15,ABA1.3,-,வாத கப காமாலை,Siddha,LB79.0,Fused fingers,0.27161275574148813
16,ABB,Aẕal,அழல்,Siddha,ME10.1,Unspecified jaundice,0.6155816485166898
16,ABB,Aẕal,அழல்,Siddha,XA3518,Aqueous humour,0.5437316736994592
16,ABB,Aẕal,அழல்,Siddha,SM41,Jaundice disorder (TM2),0.45638748614224456
17,ABB1.1,Aẕal Mañcaḷ Nōy,அழல் மஞ்சள் நோய்,Siddha,ME10.1,Unspecified jaundice,0.24165335098139346
17,ABB1.1,Aẕal Mañcaḷ Nōy,அழல் மஞ்சள் நோய்,Siddha,MD92,Dyspepsia,0.23806185661235577
17,ABB1.1,Aẕal Mañcaḷ Nōy,அழல் மஞ்சள் நோய்,Siddha,HA02.00,"Anorgasmia, lifelong, generalised",0.23473665220052534
18,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,அழல் ஐய மஞ்சள் நோய்,Siddha,SS5E,Aiya-predominant Aẕal body constitution pattern (TM2),0.2844024207414896
18,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,அழல் ஐய மஞ்சள் நோய்,Siddha,ME10.1,Unspecified jaundice,0.24476504567511073
18,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,அழல் ஐய மஞ்சள் நோய்,Siddha,SS5D,Aẕal-predominant Aiyam body constitution pattern (TM2),0.24385902281693925
19,ABB1.3,Ūtu Mañcaḷ Nōy,ஊதுமஞ்சள் நோய்,Siddha,5A42,Increased secretion of glucagon,0.2450483575176706
19,ABB1.3,Ūtu Mañcaḷ Nōy,ஊதுமஞ்சள் நோய்,Siddha,ME10.1,Unspecified jaundice,0.2350494091679666
19,ABB1.3,Ūtu Mañcaḷ Nōy,ஊதுமஞ்சள் நோய்,Siddha,SA01,Jaundice disorder (TM1),0.17426381898790425
20,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,வறட்டு மஞ்சள் நோய்,Siddha,5B55.0,Vitamin A deficiency with night blindness,0.2843582634944901
20,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,வறட்டு மஞ்சள் நோய்,Siddha,MB44.2,Difficulty in walking,0.25547660454986537
20,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,வறட்டு மஞ்சள் நோய்,Siddha,SK64,Night blindness disorder (TM2),0.2500583692889605
21,ABB1.5,Peru Mañcaḷ Nōy,பெரு மஞ்சள் நோய்,Siddha,LB75.2,Symbrachydactyly of hands or feet,0.3046421955693053
21,ABB1.5,Peru Mañcaḷ Nōy,பெரு மஞ்சள் நோய்,Siddha,EA85.1,Hyperkeratotic dermatitis of hands or feet,0.25063145465732467
21,ABB1.5,Peru Mañcaḷ Nōy,பெரு மஞ்சள் நோய்,Siddha,XA2993,Uvula,0.2376294405317756
22,ABB1.6,Aẕaku Mañcaḷ Nōy,அழகு மஞ்சள் நோய்,Siddha,XE0F0,Nut fastner component of medical device,0.28331046619765893
22,ABB1.6,Aẕaku Mañcaḷ Nōy,அழகு மஞ்சள் நோய்,Siddha,XM2EQ3,Cashew nut,0.28331046619765893
22,ABB1.6,Aẕaku Mañcaḷ Nōy,அழகு மஞ்சள் நோய்,Siddha,XM9135,Pecan or hickory nut,0.28331046619765893
23,ABB1.7,Ceṅkamala Mañcaḷ Nōy,செங்கமல மஞ்சள் நோய்,Siddha,5A80.Z,"Ovarian dysfunction, unspecified",0.42322703798019146
23,ABB1.7,Ceṅkamala Mañcaḷ Nōy,செங்கமல மஞ்சள் நோய்,Siddha,5A80,Ovarian dysfunction,0.42322703798019146
23,ABB1.7,Ceṅkamala Mañcaḷ Nōy,செங்கமல மஞ்சள் நோய்,Siddha,5B0Z,"Polyglandular dysfunction, unspecified",0.42322703798019146
24,ABC,Aiyam,ஐயம்,Siddha,ME10.1,Unspecified jaundice,0.5620952336129708
24,ABC,Aiyam,ஐயம்,Siddha,XA3518,Aqueous humour,0.4964881310014927
24,ABC,Aiyam,ஐயம்,Siddha,SM41,Jaundice disorder (TM2),0.416733070680885
25,ABC1.1,Aiya Mañcaḷ Nōy,ஐய மஞ்சள் நோய்,Siddha,MB44.2,Difficulty in walking,0.3311166247404314
25,ABC1.1,Aiya Mañcaḷ Nōy,ஐய மஞ்சள் நோய்,Siddha,VW13,Walking,0.2708909901927141
25,ABC1.1,Aiya Mañcaḷ Nōy,ஐய மஞ்சள் நோய்,Siddha,XE90Y,"Cane, walker, walking stick, walking frame",0.2708909901927141
26,ABC1.2,Kuṉma Mañcaḷ Nōy,குன்ம மஞ்சள் நோய்,Siddha,MB41.0,Anosmia,0.23585145178198547
26,ABC1.2,Kuṉma Mañcaḷ Nōy,குன்ம மஞ்சள் நோய்,Siddha,XE5UF,Organised sports and exercise during leisure time,0.19712064231542828
26,ABC1.2,Kuṉma Mañcaḷ Nōy,குன்ம மஞ்சள் நோய்,Siddha,SK91,Anosmia disorder (TM2),0.195105211130029
28,ABD1.1,-,தொந்த காமாலை,Siddha,XA4TC0,Lower abdomen,0.2398748088735229
28,ABD1.1,-,தொந்த காமாலை,Siddha,ME10.1,Unspecified jaundice,0.222278782374565
28,ABD1.1,-,தொந்த காமாலை,Siddha,XA8Q87,Body of tongue,0.19687175625921519
29,AC,Maṇṇīral Nōy,மண்ணீரல் மஞ்சள் நோய்,Siddha,XA7FU9,Spleen,0.6638356093565868
29,AC,Maṇṇīral Nōy,மண்ணீரல் மஞ்சள் நோய்,Siddha,3B81.6,Infarction of spleen,0.6638356093565868
29,AC,Maṇṇīral Nōy,மண்ணீரல் மஞ்சள் நோய்,Siddha,SF7Z,"Spleen system patterns (TM1), unspecified",0.6638356093565868
30,ACA,Vaḷi,வளி,Siddha,SG23,Spleen meridian pattern (TM1),0.6539825966939873
30,ACA,Vaḷi,வளி,Siddha,LB22.2,Ectopic spleen,0.6539825966939873
30,ACA,Vaḷi,வளி,Siddha,SF70,Spleen qi deficiency pattern (TM1),0.6539825966939873
31,ACA1.1,Vaḷi Maṇṇīral Nōy,வளி மண்ணீரல் நோய்,Siddha,XA8PG5,Muscle of the abdomen,0.3160772576669225
31,ACA1.1,Vaḷi Maṇṇīral Nōy,வளி மண்ணீரல் நோய்,Siddha,MC12,Chronic enlargement of lacrimal gland,0.282228950975415
31,ACA1.1,Vaḷi Maṇṇīral Nōy,வளி மண்ணீரல் நோய்,Siddha,XA9JK8,Artery of abdomen,0.26361611696073955
32,ACB,Aẕal,அழல்,Siddha,3B81.6,Infarction of spleen,0.6516784602399317
32,ACB,Aẕal,அழல்,Siddha,NB91.05,Avulsion of spleen,0.6516784602399317
32,ACB,Aẕal,அழல்,Siddha,NB91.03,"Laceration of spleen, moderate",0.6516784602399317
33,ACB1.1,Aẕal Maṇṇīral Nōy,அழல் மண்ணீரல் நோய்,Siddha,XM1GJ1,Bitter almond,0.19276279852839426
33,ACB1.1,Aẕal Maṇṇīral Nōy,அழல் மண்ணீரல் நோய்,Siddha,MC12,Chronic enlargement of lacrimal gland,0.18568361099031264
33,ACB1.1,Aẕal Maṇṇīral Nōy,அழல் மண்ணீரல் நோய்,Siddha,KD3C.0,Bilious vomiting of newborn,0.17450554457262737
34,ACC,Aiyam,ஐயம்,Siddha,3B81.9,Fibrosis of spleen,0.6082283922735374
34,ACC,Aiyam,ஐயம்,Siddha,NB91.05,Avulsion of spleen,0.6082283922735374
34,ACC,Aiyam,ஐயம்,Siddha,NB91.03,"Laceration of spleen, moderate",0.6082283922735374
35,ACC1.1,Aiya Maṇṇīral Nōy,ஐய மண்ணீரல் நோய்,Siddha,SL70,Varicose veins disorder (TM2),0.3840634246707473
35,ACC1.1,Aiya Maṇṇīral Nōy,ஐய மண்ணீரல் நோய்,Siddha,XA5J49,Veins,0.3829805759744913
35,ACC1.1,Aiya Maṇṇīral Nōy,ஐய மண்ணீரல் நோய்,Siddha,XE2ES,Erratic or intermittent display,0.3718283456570609
36,ACD,Mukkuṟṟam,முக்குற்றம்,Siddha,SG23,Spleen meridian pattern (TM1),0.5866920519724912
36,ACD,Mukkuṟṟam,முக்குற்றம்,Siddha,LB22.2,Ectopic spleen,0.5866920519724912
36,ACD,Mukkuṟṟam,முக்குற்றம்,Siddha,SF70,Spleen qi deficiency pattern (TM1),0.5866920519724912
37,ACD1.1,Mukkuṟṟa Maṇṇīral Nōy,முக்குற்ற மண்ணீரல் நோய்,Siddha,MD80,Symptoms or signs of the orofacial complex,0.2740399912198728
37,ACD1.1,Mukkuṟṟa Maṇṇīral Nōy,முக்குற்ற மண்ணீரல் நோய்,Siddha,QA03.0,Occupational health examination,0.25249248855426365
37,ACD1.1,Mukkuṟṟa Maṇṇīral Nōy,முக்குற்ற மண்ணீரல் நோய்,Siddha,QC22,Health supervision or care of abandoned infant,0.25249248855426365
38,AD,Nīr Vēṭkai Nōy,நீர் வேட்கை நோய்,Siddha,SS2D,Suppression of thirst pattern (TM2),0.33252165445165044
38,AD,Nīr Vēṭkai Nōy,நீர் வேட்கை நோய்,Siddha,5C51.3,Glycogen storage disease,0.29831835250798183
38,AD,Nīr Vēṭkai Nōy,நீர் வேட்கை நோய்,Siddha,1D82,Cytomegaloviral disease,0.29831835250798183
39,ADA,Vaḷi,வளி,Siddha,XA3518,Aqueous humour,0.5558067746977919
39,ADA,Vaḷi,வளி,Siddha,SS2D,Suppression of thirst pattern (TM2),0.44720131469872015
39,ADA,Vaḷi,வளி,Siddha,XS9S,C Regional disease,0.4012020199416025
40,ADA1.1,Vaḷi Nīr Vēṭkai Nōy,வளி நீர் வேட்கை நோய்,Siddha,ST0C,Compound morbid temperament pattern (TM2),0.29977431934605064
40,ADA1.1,Vaḷi Nīr Vēṭkai Nōy,வளி நீர் வேட்கை நோய்,Siddha,SS2D,Suppression of thirst pattern (TM2),0.2915652121328242
40,ADA1.1,Vaḷi Nīr Vēṭkai Nōy,வளி நீர் வேட்கை நோய்,Siddha,SR43,Morbid increase of blood pattern (TM2),0.2378630436598404
41,ADB,Aẕal,அழல்,Siddha,XA3518,Aqueous humour,0.5530751441252619
41,ADB,Aẕal,அழல்,Siddha,SS2D,Suppression of thirst pattern (TM2),0.4450034487515646
41,ADB,Aẕal,அழல்,Siddha,5C52.2,Neutral lipid storage disease,0.3992302273091194
42,ADB1.1,Aẕal Nīr Vēṭkai Nōy,அழல் நீர் வேட்கை நோய்,Siddha,DA03.1,Geographic tongue,0.4484641830647625
42,ADB1.1,Aẕal Nīr Vēṭkai Nōy,அழல் நீர் வேட்கை நோய்,Siddha,XA1T19,Tongue,0.4484641830647625
42,ADB1.1,Aẕal Nīr Vēṭkai Nōy,அழல் நீர் வேட்கை நோய்,Siddha,XA8SX3,Junctional zone of tongue,0.4484641830647625
43,ADB1.2,Iraca Nīr Vēṭkai Nōy,இரச நீர் வேட்கை நோய்,Siddha,SS2D,Suppression of thirst pattern (TM2),0.2967941760859404
43,ADB1.2,Iraca Nīr Vēṭkai Nōy,இரச நீர் வேட்கை நோய்,Siddha,KA80.4,Haemorrhage into maternal circulation,0.27827644943608987
43,ADB1.2,Iraca Nīr Vēṭkai Nōy,இரச நீர் வேட்கை நோய்,Siddha,GA91.4,Haemorrhage of the prostate,0.27827644943608987
44,ADC,Aiyam,ஐயம்,Siddha,XA3518,Aqueous humour,0.5035710847218927
44,ADC,Aiyam,ஐயம்,Siddha,SS5B,Vaḷi-predominant Aiyam body constitution pattern (TM2),0.4160683204018649
44,ADC,Aiyam,ஐயம்,Siddha,SS59,Aiyam body constitution pattern (TM2),0.4160683204018649
45,ADC1.1,Aiya Nīr Vēṭkai Nōy,ஐய நீர் வேட்கை நோய்,Siddha,XM2BJ0,Sweet niter spirit,0.29222156747619593
45,ADC1.1,Aiya Nīr Vēṭkai Nōy,ஐய நீர் வேட்கை நோய்,Siddha,XM13U2,Sweet vernal grass,0.29222156747619593
45,ADC1.1,Aiya Nīr Vēṭkai Nōy,ஐய நீர் வேட்கை நோய்,Siddha,DC10.00,Obstruction of cystic duct,0.250927855408509
46,ADC1.2,Ceriyā Nīr Vēṭkai Nōy,செரியா நீர் வேட்கை நோய்,Siddha,SS2D,Suppression of thirst pattern (TM2),0.27547334334042345
46,ADC1.2,Ceriyā Nīr Vēṭkai Nōy,செரியா நீர் வேட்கை நோய்,Siddha,JB03,Long labour,0.25828587646162166
46,ADC1.2,Ceriyā Nīr Vēṭkai Nōy,செரியா நீர் வேட்கை நோய்,Siddha,XM4J39,Long-acting sulfonamides,0.25828587646162166
47,ADD,Mukkuṟṟam,முக்குற்றம்,Siddha,XA3518,Aqueous humour,0.4803149331169529
47,ADD,Mukkuṟṟam,முக்குற்றம்,Siddha,SS2D,Suppression of thirst pattern (TM2),0.38646068982538173
47,ADD,Mukkuṟṟam,முக்குற்றம்,Siddha,XS9S,C Regional disease,0.3467091984969336
48,ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,முக்குற்ற நீர் வேட்கை நோய்,Siddha,QC64.0,Family history of diabetes mellitus,0.30953951301868987
48,ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,முக்குற்ற நீர் வேட்கை நோய்,Siddha,KB60.2,Neonatal diabetes mellitus,0.30953951301868987
48,ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy,முக்குற்ற நீர் வேட்கை நோய்,Siddha,5A21.Z,"Hypoglycaemia in the context of diabetes, unspecified",0.30953951301868987
50,AEA,Vaḷi,வளி,Siddha,XA3518,Aqueous humour,0.5550095695403002
50,AEA,Vaḷi,வளி,Siddha,XM6VD7,"Antifreeze, not elsewhere classified",0.34553227968744504
50,AEA,Vaḷi,வளி,Siddha,XM15W5,"Varnish, not elsewhere classified",0.34553227968744504
51,AEA1.1,Vaḷi Ūtal Nōy,வளி ஊதல் நோய்,Siddha,ME64.2,Pallor,0.310853310012045
51,AEA1.1,Vaḷi Ūtal Nōy,வளி ஊதல் நோய்,Siddha,XE0TM,"Mattress, sleeping mat",0.240632715633379
51,AEA1.1,Vaḷi Ūtal Nōy,வளி ஊதல் நோய்,Siddha,MB21.7,Impaired executive functioning,0.23041031084998578
52,AEB,Aẕal,அழல்,Siddha,XA3518,Aqueous humour,0.552289618833684
52,AEB,Aẕal,அழல்,Siddha,XE80G,"Bag, sack, not elsewhere classified",0.3438389201133515
52,AEB,Aẕal,அழல்,Siddha,KD39,"Complications of intrauterine procedures, not elsewhere classified",0.3438389201133515
53,AEB1.1,Aẕal Ūtal Nōy,அழல் ஊதல் நோய்,Siddha,XA8D47,Nasal septum,0.3555016574399813
53,AEB1.1,Aẕal Ūtal Nōy,அழல் ஊதல் நோய்,Siddha,MB44.2,Difficulty in walking,0.3312515224745013
53,AEB1.1,Aẕal Ūtal Nōy,அழல் ஊதல் நோய்,Siddha,XA60B5,Rectovaginal septum,0.28477999427614004
54,AEC,Aiyam,ஐயம்,Siddha,XA3518,Aqueous humour,0.5029779569206779
54,AEC,Aiyam,ஐயம்,Siddha,SS59,Aiyam body constitution pattern (TM2),0.41557825714064456
54,AEC,Aiyam,ஐயம்,Siddha,SS5B,Vaḷi-predominant Aiyam body constitution pattern (TM2),0.41557825714064456
55,AEC1.1,Aiya Ūtal Nōy,ஐய ஊதல் நோய்,Siddha,XM3Z26,"Cholera, inactivated, whole cell vaccines",0.49061442879352346
55,AEC1.1,Aiya Ūtal Nōy,ஐய ஊதல் நோய்,Siddha,XM29K4,Cholera vaccines,0.49061442879352346
55,AEC1.1,Aiya Ūtal Nōy,ஐய ஊதல் நோய்,Siddha,XM72A0,"Cholera, live attenuated vaccines",0.49061442879352346
56,AED,Mukkuṟṟam,முக்குற்றம்,Siddha,XA3518,Aqueous humour,0.47980016290426625
56,AED,Mukkuṟṟam,முக்குற்றம்,Siddha,XM6VD7,"Antifreeze, not elsewhere classified",0.2987091631952133
56,AED,Mukkuṟṟam,முக்குற்றம்,Siddha,XM15W5,"Varnish, not elsewhere classified",0.2987091631952133
57,AED1.1,Mukkuṟṟa Ūtal Nōy,முக்குற்ற ஊதல் நோய்,Siddha,MD81.1,Localised abdominal pain,0.23974138321914074
57,AED1.1,Mukkuṟṟa Ūtal Nōy,முக்குற்ற ஊதல் நோய்,Siddha,MD81.4,Other and unspecified abdominal pain,0.23974138321914074
57,AED1.1,Mukkuṟṟa Ūtal Nōy,முக்குற்ற ஊதல் நோய்,Siddha,MD81.1Z,"Localised abdominal pain, unspecified",0.23974138321914074
58,B,Tōl Nōykaḷ,தோல் நோய்கள்,Siddha,EE80.Z,"Necrobiotic granulomatous skin disorders, unspecified",0.7692427265883326
58,B,Tōl Nōykaḷ,தோல் நோய்கள்,Siddha,SN5Z,"Skin disorders (TM2), unspecified",0.7692427265883326
58,B,Tōl Nōykaḷ,தோல் நோய்கள்,Siddha,EE80,Necrobiotic granulomatous skin disorders,0.7692427265883326
59,BA,Akki,அக்கி,Siddha,XN5V1,Herpes simplex virus-2,0.5549849108133736
59,BA,Akki,அக்கி,Siddha,XN41T,Herpes simplex virus-1,0.5549849108133736
59,BA,Akki,அக்கி,Siddha,1F00.21,Encephalitis due to herpes simplex virus,0.5549849108133736
60,BAA,Vaḷi,வளி,Siddha,XE2VX,"Environmental pollution, not elsewhere classified",0.2524337228654852
60,BAA,Vaḷi,வளி,Siddha,8E47,"Encephalopathy, not elsewhere classified",0.2524337228654852
60,BAA,Vaḷi,வளி,Siddha,XM4XU4,"Chlorinated hydrocarbons, not elsewhere classified",0.2524337228654852
61,BAA1.1,Akki,அக்கி,Siddha,QC04.3,Immunization not carried out because of immune-compromised state of patient,0.27214097795746517
61,BAA1.1,Akki,அக்கி,Siddha,XM6VF9,Immune sera,0.24567830240951766
61,BAA1.1,Akki,அக்கி,Siddha,MF84,Pauci-immune proliferative glomerulonephritis,0.24567830240951766
62,BB,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Siddha,XA86E8,Apex of axilla,0.4887809047303341
62,BB,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Siddha,XA17J1,Axilla,0.4887809047303341
62,BB,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Siddha,ME86.5,Symptom or complaint of the flank or axilla,0.25883659679902227
63,BBB,Aẕal,அழல்,Siddha,XM8VR0,"Shampoo, not elsewhere classified",0.431415419442083
63,BBB,Aẕal,அழல்,Siddha,XM86Y5,"Sulfur pesticide, not elsewhere classified",0.431415419442083
63,BBB,Aẕal,அழல்,Siddha,XE2JN,"Wood - timber, board, splinter, not elsewhere classified",0.431415419442083
64,BBB1.1,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Siddha,BD90.21,Chronic axillary lymphadenitis,0.35778801196687365
64,BBB1.1,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Siddha,XA86E8,Apex of axilla,0.3076941082425309
64,BBB1.1,Akkuḷ Ericcal Kaṭṭi,அக்குள் எரிச்சல் கட்டி,Siddha,XA17J1,Axilla,0.3076941082425309
65,BBB1.2,Akkuḷ Kaṭṭi,அக்குள் கட்டி,Siddha,BD90.21,Chronic axillary lymphadenitis,0.3573799756290095
65,BBB1.2,Akkuḷ Kaṭṭi,அக்குள் கட்டி,Siddha,BD90.22,Chronic inguinal lymphadenitis,0.3496808900919257
65,BBB1.2,Akkuḷ Kaṭṭi,அக்குள் கட்டி,Siddha,XA17J1,Axilla,0.3073432010770854
66,BC,Kāl Āṇi,கால் ஆணி,Siddha,LB9A.5,Adactyly of feet,0.4595172604055899
66,BC,Kāl Āṇi,கால் ஆணி,Siddha,LB75.2,Symbrachydactyly of hands or feet,0.35027721138875323
66,BC,Kāl Āṇi,கால் ஆணி,Siddha,EA85.3,Dermatitis of feet,0.34046095402259446
67,BCA,Vaḷi,வளி,Siddha,KC30,Skin fragility of prematurity,0.3988836439606815
67,BCA,Vaḷi,வளி,Siddha,ED53,Skin peeling,0.3988836439606815
67,BCA,Vaḷi,வளி,Siddha,XA0364,Skin,0.3988836439606815
68,BCA1.1,Kāl Āṇi,கால் ஆணி,Siddha,EH92.00,Hard corn,0.22586318647055298
68,BCA1.1,Kāl Āṇi,கால் ஆணி,Siddha,PH01,"Caught, crushed, jammed or pinched between objects with undetermined intent",0.22586318647055298
68,BCA1.1,Kāl Āṇi,கால் ஆணி,Siddha,PE41,"Assault by being caught, crushed, jammed or pinched between objects",0.22586318647055298
69,BD,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Siddha,EA90.53,Anogenital psoriasis,0.5874279347587732
69,BD,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Siddha,EA90.52,Flexural and intertriginous psoriasis,0.5874279347587732
69,BD,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Siddha,EA90.3,Erythrodermic psoriasis,0.5874279347587732
70,BDB,Aẕal,அழல்,Siddha,EA90.52,Flexural and intertriginous psoriasis,0.8210212102740897
70,BDB,Aẕal,அழல்,Siddha,EA90.53,Anogenital psoriasis,0.8210212102740897
70,BDB,Aẕal,அழல்,Siddha,EA90,Psoriasis,0.8210212102740897
71,BDB1.1,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Siddha,EA90.51,Nail psoriasis,0.37500179897512886
71,BDB1.1,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Siddha,FA21.0,Psoriatic spondyloarthritis,0.36772610981599385
71,BDB1.1,Kāḷañcakappaṭai,காளாஞ்சகப்படை,Siddha,XA6Q52,Nail,0.35355508668329083
73,BEB,Aẕal,அழல்,Siddha,XM8VR0,"Shampoo, not elsewhere classified",0.3573026649363417
73,BEB,Aẕal,அழல்,Siddha,XM86Y5,"Sulfur pesticide, not elsewhere classified",0.3573026649363417
73,BEB,Aẕal,அழல்,Siddha,XE2JN,"Wood - timber, board, splinter, not elsewhere classified",0.3573026649363417
74,BEB1.1,Kāṇākkaṭi,காணாக்கடி,Siddha,ME65.1,Itching of skin,0.3157797525861681
74,BEB1.1,Kāṇākkaṭi,காணாக்கடி,Siddha,ME65.2,Pain or tenderness of skin,0.2685885406276462
74,BEB1.1,Kāṇākkaṭi,காணாக்கடி,Siddha,MA14.15,Elevated C-reactive protein,0.25657018493841544
75,BF,Karappāṉ,கரப்பான்,Siddha,EA88.3,Secondary eczema,0.6944197490894978
75,BF,Karappāṉ,கரப்பான்,Siddha,EA88.2,Disseminated secondary eczema,0.6944197490894978
