,NAMC_ID,NAMC_CODE,NAMC_term,NAMC__term_diacritical,NAMC__term_DEVANAGARI,short_definition,long_definition,ontology_branches,section
28,29,AAB-13,ATOPAH (KEVALAVATA),āṭōpaḥ (kēvalavāta),आटोपः (केवलवात),borborygmus (due only to vātadōṣa) ,,,Ayurveda
29,30,AAB-14,AKSHEPAKAH (KEVALAVATA),ākṣēpakaḥ (kēvalavāta),आक्षेपकः (केवलवात),clonic convulsion (due only to vātadōṣa) ,,,Ayurveda
30,31,AAB-15,UCCAIHSRUTIH (KEVALAVATA),uccaiḥśrutiḥ (kēvalavāta),उच्चैःश्रुतिः (केवलवात),hypacousia (due only to vātadōṣa) ,,,Ayurveda
31,32,AAB-16,UDARAVESHTAH (KEVALAVATA),udarāvēṣṭaḥ (kēvalavāta),उदरावेष्टः (केवलवात),feeling of abdomen as if enveloped by a cloth (due only to vātadōṣa) ,,,Ayurveda
32,33,AAB-17,UDAVARTAH (KEVALAVATA),udāvartaḥ (kēvalavāta),उदावर्तः (केवलवात),obstipation (due only to vātadōṣa) ,,,Ayurveda
33,34,AAB-18,URUSTAMBAH/ADHYAVATAH (KEVALAVATA),ūrustambhaḥ/āḍhyavātaḥ (kēvalavāta),ऊरुस्तम्भः/आढ्यवातः (केवलवात),stiff thigh (due only to vātadōṣa) ,,,Ayurveda
34,35,AAB-19,URUSADAH (KEVALAVATA),ūrusādaḥ (kēvalavāta),ऊरुसादः (केवलवात),thigh fatigue (due only to vātadōṣa) ,,,Ayurveda
35,36,AAB-20,EKANGAROGAH (KEVALAVATA),ēkāṅgarōgaḥ (kēvalavāta),एकाङ्गरोगः (केवलवात),monoplegia (due only to vātadōṣa) ,,,Ayurveda
36,37,AAB-21,OSHTHABEDAH (KEVALAVATA),ōṣṭhabhēdaḥ (kēvalavāta),ओष्ठभेदः (केवलवात),cleft lip (due only to vātadōṣa) ,,,Ayurveda
37,38,AAB-22,KANTHODHVAMSAH (KEVALAVATA),kaṇṭhōdhvaṁsaḥ (kēvalavāta),कण्ठोध्वंसः (केवलवात),hoarseness of voice (due only to vātadōṣa) ,,,Ayurveda
38,39,AAB-23,KARNASULAH (KEVALAVATA),karṇaśūlaḥ (kēvalavāta),कर्णशूलः (केवलवात),earache/otalgia (due only to vātadōṣa) ,,,Ayurveda
39,40,AAB-24,KAMPAH/VEPATHUH (KEVALAVATA),kampaḥ/vēpathuḥ (kēvalavāta),कम्पः/वेपथुः (केवलवात),tremor (due only to vātadōṣa) ,,,Ayurveda
40,41,AAB-25,KASHAYASYATA (KEVALAVATA),kaṣāyāsyatā (kēvalavāta),कषायास्यता (केवलवात),feeling of astringent taste (due only to vātadōṣa) ,,,Ayurveda
41,42,AAB-26,KLAMAH (KEVALAVATA),klamaḥ (kēvalavāta),क्लमः (केवलवात),fatigue without physical exertion/sense-fatigue (due only to vātadōṣa) ,,,Ayurveda
42,43,AAB-27,KARSHNYAM (KEVALAVATA),kārṣṇyam (kēvalavāta),कार्ष्ण्यम् (केवलवात),blackish discoloration (due only to vātadōṣa) ,,,Ayurveda
43,44,AAB-28,KUBJATVAM (KEVALAVATA),kubjatvam (kēvalavāta),कुब्जत्वम् (केवलवात),kyphosis/captocormia (due only to vātadōṣa) ,,,Ayurveda
44,45,AAB-29,KARSYAM (KEVALAVATA),kārśyam (kēvalavāta),कार्श्यम् (केवलवात),emaciation (due only to vātadōṣa) ,,,Ayurveda
45,46,AAB-30,KESABUMISPUTANAM (KEVALAVATA),kēśabhūmisphuṭanam (kēvalavāta),केशभूमिस्फुटनम् (केवलवात),cracking of scalp (due only to vātadōṣa) ,,,Ayurveda
46,47,AAB-31,KHANJAH/KHANJATVAM (KEVALAVATA),khañjaḥ/khañjatvam (kēvalavāta),खञ्जः/खञ्जत्वम् (केवलवात),lameness (unilateral) (due only to vātadōṣa) ,,,Ayurveda
47,48,AAB-32,GARBANASAH (KEVALAVATA),garbhanāśaḥ (kēvalavāta),गर्भनाशः (केवलवात),foetal distress/foetal death (due only to vātadōṣa) ,,,Ayurveda
48,49,AAB-33,GRIVASTAMBAH/GRIVAHUNDANAM (KEVALAVATA),grīvāstambhaḥ/grīvāhuṇḍanam (kēvalavāta),ग्रीवास्तम्भः (केवलवात),neck stiffness/torticollis/spasmodic torticollois (due only to vātadōṣa) ,,,Ayurveda
49,50,AAB-34,GUDABRAMSAH (KEVALAVATA),gudabhraṁśaḥ (kēvalavāta),गुदभ्रंशः (केवलवात),rectal prolapse (due only to vātadōṣa) ,,,Ayurveda
50,51,AAB-35,GUDARTIH (KEVALAVATA),gudārtiḥ (kēvalavāta),गुदार्तिः (केवलवात),anal pain/proctalgia (due only to vātadōṣa) ,,,Ayurveda
51,52,AAB-36,GULPA-GRAHAH (KEVALAVATA),gulpha-grahaḥ (kēvalavāta),गुल्फ-ग्रहः (केवलवात),stiff ankle (due only to vātadōṣa) ,,,Ayurveda
52,53,AAB-37,GRUDHRASI (KEVALAVATA),gr̥dhrasī (kēvalavāta),गृध्रसी (केवलवात),sciatia (due only to vātadōṣa) ,gradual stiffness in gluteal region- low back- upper back- thigh- knee- calf muscles- feet constant/frequent throbbing/twiching sensation supression/holding down of thighs twitching sensation in knee stiffness in knee joint twitching sensation in waist stiffness of lowback twitching sensation in thigh stiffness in thigh pricking pain bending/flexion of the body,,Ayurveda
53,54,AAB-38,GHRANANASAH/NASAHUNDANAM (KEVALAVATA),ghrāṇanāśaḥ/nāsāhuṇḍanam (kēvalavāta),घ्राणनाशः/नासाहुण्डनम् (केवलवात),anosmia (due only to vātadōṣa) ,,,Ayurveda
54,55,AAB-39,JANUBEDAH (KEVALAVATA),jānubhēdaḥ (kēvalavāta),जानुभेदः (केवलवात),breaking pain of knees (due only to vātadōṣa) ,,,Ayurveda
55,56,AAB-40,JANUVISLESHAH (KEVALAVATA),jānuviślēṣaḥ (kēvalavāta),जानुविश्लेषः (केवलवात),lax knee (due only to vātadōṣa) ,,,Ayurveda
56,57,AAB-41,JRUMBA (KEVALAVATA),jr̥mbhā (kēvalavāta),जृम्भा (केवलवात),morbid yawning/oscitation (due only to vātadōṣa) ,,,Ayurveda
57,58,AAB-42,TAMAH (KEVALAVATA),tamaḥ (kēvalavāta),तमः (केवलवात),fainting/syncope (due only to vātadōṣa) ,,,Ayurveda
58,60,AAB-43,TIMIRAH (KEVALAVATA),timiraḥ (kēvalavāta),तिमिरः (केवलवात),partial or total blindness/amaurosis/ametropia/partial obstruction of vision (due only to vātadōṣa) ,,,Ayurveda
59,61,AAB-44,TVAKSUNYATA (KEVALAVATA),tvakśūnyatā (kēvalavāta),त्वक्शून्यता (केवलवात),hypoesthesia (due only to vātadōṣa) ,,,Ayurveda
60,62,AAB-45,TODAH (KEVALAVATA),tōdaḥ (kēvalavāta),तोदः (केवलवात),pricking pain (due only to vātadōṣa) ,,,Ayurveda
61,63,AAB-46,DANDAKAH (KEVALAVATA),daṇḍakaḥ (kēvalavāta),दण्डकः (केवलवात),tonic convulsion (due only to vātadōṣa) ,,,Ayurveda
62,64,AAB-47,DANTABEDAH (KEVALAVATA),dantabhēdaḥ (kēvalavāta),दन्तभेदः (केवलवात),odontalgia/tooth fracture (due only to vātadōṣa) ,,,Ayurveda
63,65,AAB-48,DANTASAITHILYAM (KEVALAVATA),dantaśaithilyam (kēvalavāta),दन्तशैथिल्यम् (केवलवात),tooth mobility (due only to vātadōṣa) ,,,Ayurveda
64,66,AAB-49,NAKHABEDAH (KEVALAVATA),nakhabhēdaḥ (kēvalavāta),नखभेदः (केवलवात),brittle nail (due only to vātadōṣa) ,,,Ayurveda
65,67,AAB-50,HRASVAKESAH (KEVALAVATA),hrasvakēśaḥ (kēvalavāta),ह्रस्वकेशः (केवलवात),short hair (due only to vātadōṣa) ,,,Ayurveda
66,68,AAB-51,NIRAMAVATAH,nirāmavātaḥ,निरामवातः,vitiation of vāta without association of āma (undigested material) ,,,Ayurveda
67,69,AAB-52,PAKSHAGHATAH/PAKSHAVADHAH (KEVALAVATA),pakṣāghātaḥ/pakṣavadhaḥ (kēvalavāta),पक्षाघातः/पक्षवधः (केवलवात),hemiplegia/hemiparesis (due only to vātadōṣa) ,,,Ayurveda
68,70,AAB-53,PANGULYAM (KEVALAVATA),pāṅgulyam (kēvalavāta),पाङ्गुल्यम् (केवलवात),limping (due only to vātadōṣa) ,,,Ayurveda
69,71,AAB-54,PADABRAMSAH (KEVALAVATA),pādabhraṁśaḥ (kēvalavāta),पादभ्रंशः (केवलवात),foot drop (due only to vātadōṣa) ,,,Ayurveda
70,72,AAB-55,PADASULAH (KEVALAVATA),pādaśūlaḥ (kēvalavāta),पादशूलः (केवलवात),leg pain (due only to vātadōṣa) ,,,Ayurveda
71,73,AAB-56,PADASUPTATA (KEVALAVATA),pādasuptatā (kēvalavāta),पादसुप्तता (केवलवात),numbness of foot (due only to vātadōṣa) ,,,Ayurveda
72,74,AAB-57,PARUSHYAM (KEVALAVATA),pāruṣyam (kēvalavāta),पारुष्यम् (केवलवात),roughness (due only to vātadōṣa) ,,,Ayurveda
73,75,AAB-58,PARSVAVAMARDAH (KEVALAVATA),pārśvāvamardaḥ (kēvalavāta),पार्श्वावमर्दः (केवलवात),flank pain (due only to vātadōṣa) ,,,Ayurveda
74,76,AAB-59,PINDIKODVESHTANAM (KEVALAVATA),piṇḍikōdvēṣṭanam (kēvalavāta),पिण्डिकोद्वेष्टनम् (केवलवात),calf muscle cramp (due only to vātadōṣa) ,,,Ayurveda
75,77,AAB-60,PURISHATIGADHATVAM (KEVALAVATA),purīṣātigāḍhatvam (kēvalavāta),पुरीषातिगाढत्वम् (केवलवात),hard stool (due only to vātadōṣa) ,,,Ayurveda
76,78,AAB-61,PRUSHTHA-GRAHAH (KEVALAVATA),pr̥ṣṭha-grahaḥ (kēvalavāta),पृष्ठ-ग्रहः (केवलवात),stiff back (due only to vātadōṣa) ,,,Ayurveda
77,79,AAB-62,PRALAPAKAH (KEVALAVATA),pralāpakaḥ (kēvalavāta),प्रलापकः (केवलवात),delirium (due only to vātadōṣa) ,,,Ayurveda
78,80,AAB-63,BADHIRYAM (KEVALAVATA),bādhiryam (kēvalavāta),बाधिर्यम् (केवलवात),deafness (due only to vātadōṣa) ,,,Ayurveda
79,81,AAB-64,BAHUSOSHAH (KEVALAVATA),bāhuśōṣaḥ (kēvalavāta),बाहुशोषः (केवलवात),atrophy of arm (due only to vātadōṣa) ,,,Ayurveda
80,82,AAB-65,BALAHANIH (KEVALAVATA),balahāniḥ (kēvalavāta),बलहानिः (केवलवात),weakness (due only to vātadōṣa) ,,,Ayurveda
81,83,AAB-66,BEDAH (KEVALAVATA),bhēdaḥ (kēvalavāta),भेदः (केवलवात),splitting pain/breaking pain (due only to vātadōṣa) ,,,Ayurveda
82,84,AAB-67,BIRUTA (KEVALAVATA),bhīrutā (kēvalavāta),भीरुता (केवलवात),cowardness (due only to vātadōṣa) ,,,Ayurveda
83,85,AAB-68,MALA-APRAVRUTIH (KEVALAVATA),mala-apravr̥tiḥ (kēvalavāta),मल-अप्रवृतिः (केवलवात),retention of stool (due only to vātadōṣa) ,,,Ayurveda
84,86,AAB-69,MUKATVAM (KEVALAVATA),mūkatvam (kēvalavāta),मूकत्वम् (केवलवात),dumbness/aphasia (due only to vātadōṣa) ,,,Ayurveda
85,87,AAB-70,MOHAH (KEVALAVATA),mōhaḥ (kēvalavāta),मोहः (केवलवात),unconsciousness (due only to vātadōṣa) ,,,Ayurveda
86,88,AAB-71,BRAMAH (KEVALAVATA),bhramaḥ (kēvalavāta),भ्रमः (केवलवात),giddiness (due only to vātadōṣa) ,,,Ayurveda
87,89,AAB-72,BRUVYUDASAH (KEVALAVATA),bhrūvyudāsaḥ (kēvalavāta),भ्रूव्युदासः (केवलवात),twitching eyebrow (due only to vātadōṣa) ,,,Ayurveda
88,90,AAB-73,MANYASTAMBAH (KEVALAVATA),manyāstambhaḥ (kēvalavāta),मन्यास्तम्भः (केवलवात),stiff neck/torticollis/wry neck (due only to vātadōṣa) ,,,Ayurveda
89,91,AAB-74,MUKHASOSHAH (KEVALAVATA),mukhaśōṣaḥ (kēvalavāta),मुखशोषः (केवलवात),xerostomia/dry mouth (due only to vātadōṣa) ,,,Ayurveda
90,92,AAB-75,MUTRANIGRAHAH (KEVALAVATA),mūtranigrahaḥ (kēvalavāta),मूत्रनिग्रहः (केवलवात),anuria/uroschesis (due only to vātadōṣa) ,,,Ayurveda
91,93,AAB-76,RAJONASAH (KEVALAVATA),rajōnāśaḥ (kēvalavāta),रजोनाशः (केवलवात),amenorrhoea (due only to vātadōṣa) ,,,Ayurveda
92,94,AAB-77,RAUKSHYAM (KEVALAVATA),raukṣyam (kēvalavāta),रौक्ष्यम् (केवलवात),dryness (due only to vātadōṣa) ,,,Ayurveda
93,95,AAB-78,LOMAHARSHAH (KEVALAVATA),lōmaharṣaḥ (kēvalavāta),लोमहर्षः (केवलवात),horripilaton (due only to vātadōṣa) ,,,Ayurveda
94,96,AAB-79,LALATABEDAH (KEVALAVATA),lalāṭabhēdaḥ (kēvalavāta),ललाटभेदः (केवलवात),splitting pain of forehead (due only to vātadōṣa) ,,,Ayurveda
95,97,AAB-80,TRIKAGRAHAH (KEVALAVATA),trikagrahaḥ (kēvalavāta),त्रिकग्रहः (केवलवात),sacroiliac joint stiffness (due only to vātadōṣa) ,,,Ayurveda
96,98,AAB-81,VARTMASTAMBAH (KEVALAVATA),vartmastambhaḥ (kēvalavāta),वर्त्मस्तम्भः (केवलवात),ptosis/stiff eyelid (due only to vātadōṣa) ,,,Ayurveda
97,99,AAB-82,VARTMASANKOCAH (KEVALAVATA),vartmasaṅkōcaḥ (kēvalavāta),वर्त्मसङ्कोचः (केवलवात),entropion/contraction of eyelid (due only to vātadōṣa) ,,,Ayurveda
98,100,AAB-83,VAKSHOPARODHAH (KEVALAVATA),vakṣōparōdhaḥ (kēvalavāta),वक्षोपरोधः (केवलवात),impaired thoracic movement (due only to vātadōṣa) ,,,Ayurveda
99,101,AAB-84,VAKSHASTODAH (KEVALAVATA),vakṣastōdaḥ (kēvalavāta),वक्षस्तोदः (केवलवात),chest pain (due only to vātadōṣa) ,,,Ayurveda
100,102,AAB-85,VAK-SANGAH (KEVALAVATA),vāk-saṅgaḥ (kēvalavāta),वाक्-सङ्गः (केवलवात),lalling speech (due only to vātadōṣa) ,,,Ayurveda
101,103,AAB-86,VACALATA (KEVALAVATA),vācālatā (kēvalavāta),वाचालता (केवलवात),talkativeness (due only to vātadōṣa) ,,,Ayurveda
102,104,AAB-87,VATAKHUDDATA/VATAKANTAKAH (KEVALAVATA),vātakhuḍḍatā/vātakaṇṭakaḥ (kēvalavāta),वातखुड्डता/वातकण्टकः (केवलवात),club foot/deformity in ankle (due only to vātadōṣa) ,,,Ayurveda
103,105,AAB-88,VAMANATVAM (KEVALAVATA),vāmanatvam (kēvalavāta),वामनत्वम् (केवलवात),dwarfism (due only to vātadōṣa) ,,,Ayurveda
104,106,AAB-89,VID-BEDAH (KEVALAVATA),viḍ-bhēdaḥ (kēvalavāta),विड्-भेदः (केवलवात),diarrhoea due only to vāta (due only to vātadōṣa) ,,,Ayurveda
105,107,AAB-90,VIPADIKA (NANATMAJA) (KEVALAVATA),vipādikā (nānātmaja) (kēvalavāta),विपादिका (नानात्मज) (केवलवात),cracks in palms and soles (due only to vātadōṣa) ,,,Ayurveda
106,108,AAB-91,VISHADAH/DINATA (KEVALAVATA),viṣādaḥ/dīnatā (kēvalavāta),विषादः/दीनता (केवलवात),depression/apathy (due only to vātadōṣa) ,,,Ayurveda
107,109,AAB-92,VRUSHANAKSHEPAH (KEVALAVATA),vr̥ṣaṇākṣēpaḥ (kēvalavāta),वृषणाक्षेपः (केवलवात),scrotal pain (due only to vātadōṣa) ,,,Ayurveda
108,110,AAB-93,VANKSHANANAHAH (KEVALAVATA),vaṅkṣaṇānāhaḥ (kēvalavāta),वङ्क्षणानाहः (केवलवात),distention of inguinal region (due only to vātadōṣa) ,,,Ayurveda
109,111,AAB-94,VYATHA (KEVALAVATA),vyathā (kēvalavāta),व्यथा (केवलवात),pain/agony (due only to vātadōṣa) ,,,Ayurveda
110,112,AAB-95,SIRASPURTIH (KEVALAVATA),śirāsphūrtiḥ (kēvalavāta),शिरास्फूर्तिः (केवलवात),vasodilatation (due only to vātadōṣa) ,,,Ayurveda
111,113,AAB-96,SIRORUK (KEVALAVATA),śirōruk (kēvalavāta),शिरोरुक् (केवलवात),headache/cephalgia/cephalalgia (due only to vātadōṣa) ,,,Ayurveda
112,114,AAB-97,SUKRAKSHAYAH (KEVALAVATA),śukrakṣayaḥ (kēvalavāta),शुक्रक्षयः (केवलवात),oligospermia (due only to vātadōṣa) ,,,Ayurveda
113,115,AAB-98,SANKHABEDAH (KEVALAVATA),śaṅkhabhēdaḥ (kēvalavāta),शङ्खभेदः (केवलवात),temporal cephalalgia (due only to vātadōṣa) ,,,Ayurveda
114,116,AAB-99,SEPASTAMBAH (KEVALAVATA),śēphastambhaḥ (kēvalavāta),शेफस्तम्भः (केवलवात),priapism (due only to vātadōṣa) ,,,Ayurveda
115,117,AAB-100,SAITYAM (KEVALAVATA),śaityam (kēvalavāta),शैत्यम् (केवलवात),chills/shivering (due only to vātadōṣa) ,,,Ayurveda
116,119,AAB-101,SYAVARUNASYATA (KEVALAVATA),śyāvāruṇāsyatā (kēvalavāta),श्यावारुणास्यता (केवलवात),dusky-red oral pigmentation (due only to vātadōṣa) ,,,Ayurveda
117,120,AAB-102,SRONIBEDAH (KEVALAVATA),śrōṇibhēdaḥ (kēvalavāta),श्रोणिभेदः (केवलवात),pelvic pain (due only to vātadōṣa) ,,,Ayurveda
118,121,AAB-103,SANKOCAH (KEVALAVATA),saṅkōcaḥ (kēvalavāta),सङ्कोचः (केवलवात),contracture (due only to vātadōṣa) ,,,Ayurveda
119,122,AAB-104,SVEDANASAH (KEVALAVATA),svēdanāśaḥ (kēvalavāta),स्वेदनाशः (केवलवात),anhidrosis/hypohidrosis (due only to vātadōṣa) ,,,Ayurveda
120,123,AAB-105,SRAMAH (KEVALAVATA),śramaḥ (kēvalavāta),श्रमः (केवलवात),physical exhaustion (due only to vātadōṣa) ,,,Ayurveda
121,124,AAB-106,SARVANGAROGAH/SARVANGAVATAH (KEVALAVATA),sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),सर्वाङ्गरोगः/सर्वाङ्गवातः (केवलवात),total body paralysis/quadriplegia (due only to vātadōṣa) ,,,Ayurveda
122,125,AAB-107,STAMBAH (KEVALAVATA),stambhaḥ (kēvalavāta),स्तम्भः (केवलवात),stiffness/rigidity/spasticity (due only to vātadōṣa) ,,,Ayurveda
123,126,AAB-108,HANUBEDAH (KEVALAVATA),hanubhēdaḥ (kēvalavāta),हनुभेदः (केवलवात),jaw pain (due only to vātadōṣa) ,,,Ayurveda
124,127,AAB-109,HIKKA (KEVALAVATA),hikkā (kēvalavāta),हिक्का (केवलवात),hiccup/singultus (due only to vātadōṣa) ,,,Ayurveda
125,128,AAB-110,HRUDDRAVAH (KEVALAVATA),hr̥ddravaḥ (kēvalavāta),हृद्द्रवः (केवलवात),palpitation (due only to vātadōṣa) ,,,Ayurveda
126,129,AAB-111,HRUNMOHAH (KEVALAVATA),hr̥nmōhaḥ (kēvalavāta),हृन्मोहः (केवलवात),bradycardia (due only to vātadōṣa) ,,,Ayurveda
127,2976,AAB-112,GRIVAHUNDANAM,grīvāhuṇḍanam,ग्रीवाहुण्डनम् (केवलवात),tremor neck ,,,Ayurveda
128,130,AAC,SAMANYAJAVATAVIKARAH,sāmānyajavātavikāraḥ,सामान्यजवातविकारः,diseases due to vāta ,,,Ayurveda
129,131,AAC-1,ANTARAYAMAH,antarāyāmaḥ,अन्तरायामः,emprosthotonous ,vomiting of phlegm starring gaze lock jaw/stiff jaw breaking type of pain ribs/flanks ventral (internal) bending of body as a bow internal bending of neck torticollis/stiffness of neck gnashes-grind one's teeth salivation stretching of back stiffness of head yawning stiffness of mouth lack of eye movements/fixed eyes difficulty in speaking/aphasia stiffness of back,,Ayurveda
130,132,AAC-2,APATANTRAKAH,apatantrakaḥ,अपतन्त्रकः,convulsive fit ,body bends like a bow convulsive movements of body confusion/delirium difficulty in expiration/laborious breathing fixed/staring eyes shutting the eyes cooing like a pigeon frequent fainting/unconsciousness pain in the temporal region of head/temples pain in the head/headache pain in the pericordial region/angina pectoris loss of movement sunken eyes/downward gaze,,Ayurveda
131,133,AAC-2.1,ASADHYA-APATANTRAKAH,asādhya-apatantrakaḥ,असाध्य-अपतन्त्रकः,intractable convulsive fit ,caused by miscarriage caused by excessive bleeding/heamorrhage caused by trauma,,Ayurveda
132,134,AAC-3,APATANAKAH,apatānakaḥ,अपतानकः,orthotonos ,fixed eyes/gaze loss of conciousness cooing sound from throat faints again and again regains conciousness after a while due to the recovery offers water to the ancestral souls/ritual arrangements for sacrifice for spirits of dead persons,,Ayurveda
